,SigC800,SigBr730,EpsC800,EpsBr730,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,AvgMAPE
0,0.15000,0.15000,0.01000,1.00000,0.7468929254302102,0.06692160611854711,-0.523183556405352,0.0,-1.4610420650095601,-1.4847036328871865,-1.6168738049713227,0.8546845124282967,-0.5344168260038217,2.8645710224621714
1,0.45000,0.45000,0.50000,2.00000,-1.065248565965585,0.5195984703632869,-7.085564053537285,0.0,-7.1639579349904405,-7.284177820267684,-12.044933078393882,-0.9285372848948387,-7.020076481835564,12.911413680432826
2,0.60000,0.30000,0.25500,1.50000,-23.213013862332694,2.746677820267688,-4.017877629063097,0.0,-37.72502390057361,-39.320936902485656,-33.83276768642447,-22.03649378585086,-3.0533938814531525,52.24774668019196
3,0.30000,0.60000,0.74500,2.50000,21.336281070745688,0.7566921606118538,-81.27318355640536,0.0,-17.158938814531556,-16.03346080305928,-84.1118068833652,20.1364722753346,-82.05114722753346,56.751840415665406
4,0.37500,0.37500,0.62250,2.75000,0.16180688336520577,0.18833652007648444,-1.6491395793498989,0.0,-2.5248565965583154,-2.5707456978967493,-3.565965583173993,0.2782026768642485,-1.6376673040152971,4.739622224464823
5,0.67500,0.67500,0.13250,1.75000,8.79063097514345,7.148661567877649,-189.9971319311663,0.0,-103.4297323135755,-102.91347992351814,-249.89101338432118,7.368546845124319,-189.88240917782022,209.0112875477343
6,0.52500,0.22500,0.86750,2.25000,-14.492041108986614,1.7723709369024854,-2.7393164435946455,0.0,-24.05241395793499,-25.05026290630975,-21.600215105162523,-13.716778202676862,-2.1376912045889105,33.64082326438113
7,0.22500,0.52500,0.37750,1.25000,5.66586998087954,0.2446940726577424,-19.25602294455067,0.0,-4.539722753346082,-4.251720841300193,-20.608556405353724,5.446032504780114,-19.448183556405354,14.487524247351486
8,0.26250,0.33750,0.92875,1.87500,0.7872848948374788,0.0762428298279131,-0.5994263862332719,0.0,-1.224904397705545,-1.238766730401528,-1.5700286806883337,0.8864722753346087,-0.6128107074569773,2.610270271897345
9,0.56250,0.63750,0.43875,2.87500,20.552103250477984,3.4469407265774166,-145.737810707457,0.0,-57.45936902485661,-56.249282982791605,-172.1864244741874,18.894120458891013,-146.32122370936904,133.4318053538752
