,SigC800,SigBr730,EpsC800,EpsBr730,RCE1,RCE2,RCE3,AvgMAPE
0,0.15000,0.15000,0.01000,1.00000,0.0,1.5506692160611852,1.1771032504780141,0.6032216449243729
1,0.45000,0.45000,0.50000,2.00000,0.0,0.12906309751433845,-3.687858508604208,2.180171324016497
2,0.60000,0.30000,0.25500,1.50000,0.0,-1.0090822179732333,2.8326959847036304,1.7102973321818862
3,0.30000,0.60000,0.74500,2.50000,0.0,-10.432600382409172,-61.783245697896746,32.247812944901774
4,0.37500,0.37500,0.62250,2.75000,0.0,1.1859464627151024,0.19383365200764308,0.5032692812364216
5,0.67500,0.67500,0.13250,1.75000,0.0,-32.58843212237097,-141.74952198852773,77.40021968132646
6,0.52500,0.22500,0.86750,2.25000,0.0,0.010038240917782406,2.305210325047797,0.9809762485025689
7,0.22500,0.52500,0.37750,1.25000,0.0,-1.4328393881453165,-13.913001912045889,7.325456046900605
8,0.26250,0.33750,0.92875,1.87500,0.0,1.4579349904397692,0.9562619502868079,0.4629325976852851
9,0.56250,0.63750,0.43875,2.87500,0.0,-22.368785850860423,-109.30186424474188,58.47115179638195
10,0.71250,0.18750,0.68375,1.37500,0.0,-15.11520076481836,13.789674952198846,13.368755404807203
11,0.41250,0.48750,0.19375,2.37500,0.0,-0.8076003824091755,-9.82074569789675,5.266165444681097
12,0.33750,0.26250,0.31625,2.12500,0.0,1.5260516252390104,1.3159655831739963,0.6504454105262334
13,0.63750,0.56250,0.80625,1.12500,0.0,-10.14603250478012,-18.031787762906315,13.393686351247899
14,0.48750,0.41250,0.07125,2.62500,0.0,0.6969407265774371,-1.3078393881453174,0.903835972153605
15,0.18750,0.71250,0.56125,1.62500,0.0,-48.75239005736138,-245.30234225621413,129.67901080309542
16,0.20625,0.43125,0.46937,2.31250,0.0,0.7270554493307843,-2.5724187380497145,1.459580855001272
17,0.50625,0.73125,0.95937,1.31250,0.0,-59.196940726577395,-286.97657743785845,152.66544561453955
18,0.65625,0.28125,0.22437,2.81250,0.0,-3.3405353728489477,4.33585086042065,3.505552037975118
19,0.35625,0.58125,0.71437,1.81250,0.0,-6.486137667304016,-40.52265774378586,21.204066964166852
20,0.43125,0.20625,0.83688,1.56250,0.0,1.247848948374762,1.4545889101338463,0.5722287100596958
21,0.73125,0.50625,0.34687,2.56250,0.0,-16.089388145315496,-2.3565965583174027,9.62700446290588
22,0.58125,0.35625,0.59188,1.06250,0.0,-1.4887667304015293,2.6756692160611872,1.8802283139376936
23,0.28125,0.65625,0.10187,2.06250,0.0,-22.371414913957956,-121.99832695984703,63.90272474085566
24,0.24375,0.24375,0.53063,2.68750,0.0,1.5578393881453156,1.3228967495219877,0.6691214483915381
25,0.54375,0.54375,0.04063,1.68750,0.0,-3.461030114722753,-21.817435468451244,11.708643805874203
26,0.69375,0.39375,0.77563,2.18750,0.0,-12.45769598470363,9.529158699808796,10.233022102340046
27,0.39375,0.69375,0.28563,1.18750,0.0,-28.96032504780111,-153.14077437858504,80.47900858902211
28,0.31875,0.31875,0.16312,1.43750,0.0,1.4942638623326914,1.1249999999999984,0.5530579049511785
29,0.61875,0.61875,0.65312,2.43750,0.0,-18.83197896749522,-73.1598948374761,41.26512175978038
30,0.46875,0.16875,0.40813,1.93750,0.0,1.1312141491395802,1.5047801147227515,0.5360469699551481
31,0.16875,0.46875,0.89812,2.93750,0.0,-0.2739005736137635,-7.6125717017208405,4.05794089606124
32,0.17812,0.30937,0.69906,2.09375,0.0,1.5143403441682561,1.1756692160611881,0.5846522173946045
33,0.47813,0.60938,0.20906,1.09375,0.0,-7.925430210325047,-46.64134799235182,24.532421032661315
34,0.62812,0.15937,0.94406,2.59375,0.0,-5.036591778202677,5.309942638623326,4.760472205965716
35,0.32812,0.45937,0.45406,1.59375,0.0,0.38025812619503063,-4.264340344168263,2.30257551947087
36,0.40312,0.23438,0.08656,1.84375,0.0,1.499043977055454,1.3214627151051683,0.6394475959060673
37,0.70312,0.53437,0.57656,2.84375,0.0,-16.531309751434026,-13.101338432122365,14.440953906453183
38,0.55312,0.38438,0.33156,1.34375,0.0,-0.17423518164436266,1.1873804971319286,0.5939606602527815
39,0.25312,0.68437,0.82156,2.34375,0.0,-38.78346080305927,-198.88408221797323,104.8986409493466
40,0.29063,0.19687,0.27031,2.96875,0.0,1.5547323135755247,1.290152963671127,0.6535812221553848
41,0.59062,0.49687,0.76031,1.96875,0.0,-4.557482791586997,-7.886639579349903,6.292384597253502
42,0.74062,0.34687,0.02531,2.46875,0.0,-3.3569311663479917,3.793355640535373,3.281630854370512
43,0.44062,0.64687,0.51531,1.46875,0.0,-16.083652007648205,-89.49760994263863,46.894355919195796
44,0.36562,0.42188,0.88281,1.21875,0.0,0.9658221797323128,-1.0126673040152951,0.9104896586893755
45,0.66563,0.72188,0.39281,2.21875,0.0,-79.70124282982798,-357.93977055449335,193.15094287283603
46,0.51562,0.27187,0.63781,1.71875,0.0,0.39627151051624926,2.029875717017207,0.6723141115000747
47,0.21563,0.57188,0.14781,2.71875,0.0,-6.954588910133846,-43.21487810707457,22.587067921022424
48,0.19687,0.29063,0.79094,1.28125,0.0,1.5377629063097509,1.2215583173996152,0.6158559266565997
49,0.49687,0.59062,0.30094,2.28125,0.0,-9.124282982791591,-51.18209847036329,27.067049736828043
50,0.64687,0.44062,0.54594,1.78125,0.0,-5.781978967495218,1.4802820267686425,3.4909462829508606
51,0.34687,0.74062,0.05594,2.78125,0.0,-116.92638623326954,-559.619980879541,297.80859853520036
52,0.42188,0.36562,0.42344,2.53125,0.0,1.1517686424474227,0.5478011472275338,0.33498458245751656
53,0.72188,0.66563,0.91344,1.53125,0.0,-46.328871892925406,-113.20267686424471,71.98216119467564
54,0.57188,0.21563,0.17844,2.03125,0.0,0.11854684512427842,2.216300191204588,0.8893173996646188
55,0.27187,0.51562,0.66844,1.03125,0.0,-0.8035372848948362,-10.622370936902483,5.607012084236036
56,0.23438,0.40312,0.23969,1.65625,0.0,1.1493785850860414,-0.5279636711281078,0.793907567357028
57,0.53437,0.70312,0.72969,2.65625,0.0,-60.48996175908225,-290.0047801147228,154.59970213361873
58,0.68437,0.25312,0.48469,1.15625,0.0,-8.000000000000002,7.420411089866156,7.127828053343554
59,0.38438,0.55312,0.97469,2.15625,0.0,-4.447777246653919,-28.990774378585083,15.264393429882128
60,0.30937,0.17812,0.60719,2.40625,0.0,1.5413479923518125,1.2574091778202665,0.632961312162896
61,0.60938,0.47813,0.11719,1.40625,0.0,-1.918164435946462,-4.677963671128105,3.615512024556858
62,0.45937,0.32812,0.85219,2.90625,0.0,0.9483747609942681,1.375717017208413,0.39047560188238095
63,0.15937,0.62812,0.36219,1.90625,0.0,-13.776529636711272,-79.49808795411089,41.477233272845616
64,0.16406,0.38906,0.81391,2.67188,0.0,1.1756692160611881,-0.33628107074569363,0.7249195135582781
65,0.46406,0.68906,0.32391,1.67188,0.0,-33.859942638623345,-174.16395793499046,91.89232791176651
66,0.61406,0.23906,0.56891,2.17188,0.0,-2.8688814531548754,4.060874760994263,3.154822793732856
67,0.31406,0.53906,0.07891,1.17188,0.0,-2.0284177820267697,-17.044741873804973,8.959273917701317
68,0.38906,0.16406,0.44641,1.42188,0.0,1.4553059273422557,1.2684034416825976,0.5951359707516551
69,0.68906,0.46406,0.93641,2.42188,0.0,-14.076003824091766,4.87213193116636,9.041086071894423
70,0.53906,0.31406,0.20141,1.92188,0.0,0.5693116634799247,1.7667304015296357,0.4742392363486376
71,0.23906,0.61406,0.69141,2.92188,0.0,-14.142925430210319,-81.05544933078393,42.32441292302601
72,0.27656,0.27656,0.14016,2.29688,0.0,1.5420650095602288,1.2930210325047793,0.6485468888192992
73,0.57656,0.57656,0.63016,1.29688,0.0,-7.6261950286806846,-29.334584130019117,16.982421563521786
74,0.72656,0.42656,0.38516,2.79688,0.0,-13.80640535372848,8.449330783938821,10.437799903869694
75,0.42656,0.72656,0.87516,1.79688,0.0,-66.95267686424465,-327.8035372848948,173.96051397718915
76,0.35156,0.35156,0.50766,1.54688,0.0,1.3855162523900566,0.8331739961759126,0.37449386408145763
77,0.65156,0.65156,0.01766,2.54688,0.0,-25.149378585086048,-126.33436902485658,67.13029903080087
78,0.50156,0.20156,0.75266,1.04688,0.0,0.5573613766730386,1.8773900573613742,0.5274749486788153
79,0.20156,0.50156,0.26266,2.04688,0.0,-1.0824569789674943,-11.919933078393878,6.299839297435714
80,0.22031,0.22031,0.66078,1.98438,0.0,1.5592734225621416,1.2774856596558315,0.6504079312597254
81,0.52031,0.52031,0.17078,2.98438,0.0,-3.323470363288718,-19.687715105162525,10.729772036086965
82,0.67031,0.37031,0.90578,1.48438,0.0,-9.452915869980876,7.789674952198848,8.003887626719047
83,0.37031,0.67031,0.41578,2.48438,0.0,-31.821223709368994,-166.12380497131932,87.44588927837835
84,0.44531,0.44531,0.04828,2.23438,0.0,0.40152963671128267,-3.664913957934991,2.0356872605910414
85,0.74531,0.74531,0.53828,1.23438,0.0,-98.86950286806885,-393.34369024856596,217.76739011832117
86,0.59531,0.29531,0.29328,2.73438,0.0,-1.0164913957934956,2.889579349904402,1.738288428883947
87,0.29531,0.59531,0.78328,1.73438,0.0,-7.894120458891019,-48.45858030592735,25.294175460456856
88,0.25781,0.33281,0.35453,1.10938,0.0,1.4873326959847066,1.029397705544937,0.5087429975852368
89,0.55781,0.63281,0.84453,2.10938,0.0,-18.28585086042066,-86.04851816443595,46.50765025711308
90,0.70781,0.18281,0.10953,1.60938,0.0,-4.8435946462715105,5.180736137667304,4.6098188866155985
91,0.40781,0.48281,0.59953,2.60938,0.0,-0.8001912045889132,-9.383126195028684,5.075333610236677
92,0.33281,0.25781,0.96703,2.85938,0.0,1.5155353728489502,1.357313575525813,0.6629321191528749
93,0.63281,0.55781,0.47703,1.85938,0.0,-9.38121414913958,-24.1065965583174,15.613857367251116
94,0.48281,0.40781,0.72203,2.35938,0.0,0.30903441682600535,-0.599187380497133,0.7701940295761546
95,0.18281,0.70781,0.23203,1.35938,0.0,-39.82313575525815,-204.16108986615683,107.66949060356201
96,0.17344,0.22969,0.40047,1.70312,0.0,1.5578393881453156,1.272227533460798,0.6474502391000228
97,0.47344,0.52969,0.89047,2.70312,0.0,-3.7695176864244737,-21.893418260038242,11.893616247017647
98,0.62344,0.37969,0.15547,1.20312,0.0,-1.3957934990439778,2.1364722753346097,1.6036605176489072
99,0.32344,0.67969,0.64547,2.20312,0.0,-34.38336520076479,-178.3847992351816,93.9562900098556
100,0.39844,0.30469,0.76797,2.45312,0.0,1.3611376673040203,1.312858508604212,0.5676053111547293
101,0.69844,0.60469,0.27797,1.45312,0.0,-16.881931166347968,-41.52652963671127,26.771700004924188
102,0.54844,0.15469,0.52297,2.95312,0.0,-0.16945506692160686,2.3527724665391956,1.0900358303499933
103,0.24844,0.45469,0.03297,1.95312,0.0,0.38336520076481473,-4.3408221797323145,2.3337510604338783
104,0.28594,0.41719,0.58422,1.32812,0.0,1.0654875717017205,-0.9316443594646262,0.925097287578434
105,0.58594,0.71719,0.09422,2.32812,0.0,-69.68451242829838,-334.85659655831745,178.32735624323593
