,ratio,rndint,#trees,mape,r2
0,0.05,678.0,10.0,0.012392610230992737,0.9938844614273455
1,0.05,678.0,100.0,0.01249707394690847,0.9943707668595007
2,0.05,678.0,250.0,0.012343645191488716,0.9944904297414685
3,0.05,678.0,500.0,0.01229551858909544,0.9944628346675194
4,0.05,678.0,750.0,0.012368676276527346,0.9943275568762573
5,0.05,678.0,1000.0,0.012290565884230383,0.9944004764816348
6,0.05,147.0,10.0,0.015136354392286859,0.9920999257745347
7,0.05,147.0,100.0,0.014376414580768092,0.9925218067902407
8,0.05,147.0,250.0,0.014176588778379594,0.9929929315318917
9,0.05,147.0,500.0,0.014183228275891595,0.9929318071137441
10,0.05,147.0,750.0,0.014122235954704758,0.9929255842469865
11,0.05,147.0,1000.0,0.014036646618301576,0.9929503834718618
12,0.05,561.0,10.0,0.014288149803583478,0.9945520915190987
13,0.05,561.0,100.0,0.01388469872662071,0.9947840912225674
14,0.05,561.0,250.0,0.013885496016052932,0.9946666522215412
15,0.05,561.0,500.0,0.013653840701832195,0.994887515921967
16,0.05,561.0,750.0,0.013697930733348853,0.9947698120646609
17,0.05,561.0,1000.0,0.013746836033671902,0.9948169696407757
18,0.05,237.0,10.0,0.013385032536517209,0.9926432283752161
19,0.05,237.0,100.0,0.012958127661048587,0.9935168359785578
20,0.05,237.0,250.0,0.012871509664904019,0.9937952883441746
21,0.05,237.0,500.0,0.0127753637086268,0.9941183329893998
22,0.05,237.0,750.0,0.01285684849601292,0.9939863052052452
23,0.05,237.0,1000.0,0.012676255645241588,0.994204765475714
24,0.05,588.0,10.0,0.016201858713613095,0.9934001034202686
25,0.05,588.0,100.0,0.01536727674174648,0.9931222152555778
26,0.05,588.0,250.0,0.0154080882280038,0.9926754178165824
27,0.05,588.0,500.0,0.01555220440472522,0.9926160606207559
28,0.05,588.0,750.0,0.015649063969318377,0.9925183576228646
29,0.05,588.0,1000.0,0.015734726045020558,0.9925250261323515
30,0.05,951.0,10.0,0.013794536812771811,0.9949850027802287
31,0.05,951.0,100.0,0.014531657221520486,0.9938872420066276
32,0.05,951.0,250.0,0.01488973395960753,0.9934716740107506
33,0.05,951.0,500.0,0.014808097565663474,0.9935699359164977
34,0.05,951.0,750.0,0.014744463226794569,0.9936371422819781
35,0.05,951.0,1000.0,0.014787001694830241,0.9935165022720613
36,0.05,490.0,10.0,0.014440468765239299,0.9901498867637933
37,0.05,490.0,100.0,0.014073677683028139,0.9903269325328888
38,0.05,490.0,250.0,0.01423784995965339,0.9900235080875054
39,0.05,490.0,500.0,0.014517837123384548,0.9898049972613783
40,0.05,490.0,750.0,0.014375750834302953,0.9900430685843625
41,0.05,490.0,1000.0,0.014383029888239071,0.9901446364382137
42,0.05,395.0,10.0,0.012237419302823141,0.9938051916915036
43,0.05,395.0,100.0,0.010779911681715248,0.9951362049539225
44,0.05,395.0,250.0,0.010947325325638173,0.9948962413208335
45,0.05,395.0,500.0,0.010604053133213893,0.9953356407225525
46,0.05,395.0,750.0,0.010564188117125256,0.995409413889696
47,0.05,395.0,1000.0,0.010707489221131133,0.9952559815459702
48,0.05,877.0,10.0,0.012048149495709651,0.9949007808346202
49,0.05,877.0,100.0,0.011919255251320324,0.9958012319090787
50,0.05,877.0,250.0,0.011887993742925637,0.9958728317120743
51,0.05,877.0,500.0,0.011650833327945182,0.9959696275793439
52,0.05,877.0,750.0,0.011745027826556023,0.9959479690103482
53,0.05,877.0,1000.0,0.011802397976837789,0.9958861618184215
54,0.05,297.0,10.0,0.015226674896839513,0.9934367409269262
55,0.05,297.0,100.0,0.012561036569938613,0.9952437491062678
56,0.05,297.0,250.0,0.012656498847540906,0.9952659625820353
57,0.05,297.0,500.0,0.012439587586618105,0.9954389469453098
58,0.05,297.0,750.0,0.012515109133739377,0.9954791113146757
59,0.05,297.0,1000.0,0.012499632843865367,0.9954666464149878
60,0.05,721.0,10.0,0.01806324565150437,0.9933495735373999
