,ratio,rndint,kernel,length_scale,nu,alpha,periodicity,mape,r2
73,0.05,999.0,Matern,1.0,1.5,-,-,0.0181378439539524,0.9892388335042008
74,0.05,999.0,RQ,1.0,-,1.0,-,0.0258984871199852,0.9812922667367708
75,0.05,999.0,ESS,1.0,-,-,1.0,0.0255359124736225,0.9801223964809216
76,0.05,794.0,RBF,1.0,-,-,-,1.0,-14.993017860217464
77,0.05,794.0,Matern,1.0,1.5,-,-,0.0213938785091586,0.9839122643459502
78,0.05,794.0,RQ,1.0,-,1.0,-,0.0272115842266023,0.9817995456882864
79,0.05,794.0,ESS,1.0,-,-,1.0,1.0,-14.993017860217464
80,0.05,936.0,RBF,1.0,-,-,-,0.0268035619604725,0.9802567455050198
81,0.05,936.0,Matern,1.0,1.5,-,-,0.0156911971458186,0.99363608848124
82,0.05,936.0,RQ,1.0,-,1.0,-,0.0240337952441981,0.9835474079046802
83,0.05,936.0,ESS,1.0,-,-,1.0,0.0269392458347944,0.9800769145838432
84,0.05,111.0,RBF,1.0,-,-,-,0.0294452391225538,0.9746280616692576
85,0.05,111.0,Matern,1.0,1.5,-,-,0.0163100592071374,0.9916641587587705
86,0.05,111.0,RQ,1.0,-,1.0,-,0.0253649168475226,0.9841527622566048
87,0.05,111.0,ESS,1.0,-,-,1.0,1.0,-16.967898153582645
88,0.05,816.0,RBF,1.0,-,-,-,0.0259541895600803,0.9749684250105471
89,0.05,816.0,Matern,1.0,1.5,-,-,0.0162996171561964,0.9908554873932544
90,0.05,816.0,RQ,1.0,-,1.0,-,0.0264333653520241,0.9811641755853232
91,0.05,816.0,ESS,1.0,-,-,1.0,0.9809212467559596,-16.19999414607091
92,0.05,968.0,RBF,1.0,-,-,-,0.0269995745135072,0.9789475603151252
93,0.05,968.0,Matern,1.0,1.5,-,-,0.0185589669861812,0.9908876170321044
94,0.05,968.0,RQ,1.0,-,1.0,-,0.0255540793287195,0.9867589983217656
95,0.05,968.0,ESS,1.0,-,-,1.0,0.0269995741438931,0.9789475608667212
96,0.05,48.0,RBF,1.0,-,-,-,0.0294724980949801,0.9703076619615738
97,0.05,48.0,Matern,1.0,1.5,-,-,0.0163802037555356,0.9909511190586506
98,0.05,48.0,RQ,1.0,-,1.0,-,0.020078273047607,0.987388798878812
99,0.05,48.0,ESS,1.0,-,-,1.0,0.0294724992346564,0.9703076605168184
