,#,substance,SigC800,SigBr730,EpsC800,EpsBr730,MAPE_dens1,MAPE_dens2,MAPE_RCE1,MAPE_RCE2,prediction_1-bromobutane,prediction_2-bromobutane,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,RCE21,RCE22,RCE23
0,maxR2-0,1-bromobutane,0.1779186617536801,0.06329862652649464,0.42157843804584516,2.414819713838001,3.8071566155794443,None,172.21673287261484,None,1324.3717041015625,None,0.3477533460803089,0.032265774378589705,-0.004780114722748998,0.0,1.1988527724665439,1.212476099426388,1.0972753346080326,0.3130975143403447,0.016491395793503064,None,None,None
1,maxR2-1,1-bromobutane,0.1800772631130303,0.060175461633712846,0.684812813701324,2.5685856165728382,3.29259168879331,None,170.1718294789285,None,1317.806884765625,None,0.31596558317399004,0.021271510516252062,0.01171128107074048,0.0,1.191204588910129,1.1892925430210322,1.0822179732313555,0.3401051625238942,0.01171128107074048,None,None,None
2,maxR2-2,1-bromobutane,0.06804505845906701,0.06004052741132877,0.5901129786005839,2.389288096865622,2.7713482012511794,None,177.36021112084234,None,1311.1568603515625,None,0.305210325047798,0.01912045889100958,0.006453154875713865,0.0,1.2409177820267636,1.2435468451242768,1.1477055449330766,0.3107074569789634,0.01792543021032233,None,None,None
3,maxR2-3,1-bromobutane,0.2644452581533001,0.060542010602131255,0.7184885134807619,2.5330423834388065,4.3449912554867565,None,169.6192576410021,None,1331.2333984375,None,0.28250478011472663,0.052342256214147724,0.030592734225624838,0.0,1.1794933078393885,1.192638623326962,1.0846080305927368,0.29541108986616116,0.027485659655833914,None,None,None
4,maxR2-4,1-bromobutane,0.24430792621983644,0.06084189683404819,0.7352450688922518,2.5359350021905542,3.478778098178598,None,166.58925005547744,None,1320.1822509765625,None,0.32839388145315374,0.014340344168253787,0.007648183556401115,0.0,1.159655831739956,1.1594168260038238,1.0530592734225568,0.2691204588910077,0.010516252390053231,None,None,None
5,maxR2-5,1-bromobutane,0.22204218990702812,0.06070873627876676,0.7066482822491034,2.5014565865860474,3.2354124924067285,None,168.24066500050108,None,1317.077392578125,None,0.31214149139578945,0.02868068833652116,0.027007648183556297,0.0,1.177581261950285,1.1711281070745712,1.0803059273422517,0.32887189292543134,0.017208413001912698,None,None,None
6,maxR2-6,1-bromobutane,0.2379801356942462,0.061209493834577994,0.7181727737638313,2.5124460792951644,3.804008697973824,None,167.14480244152077,None,1324.33154296875,None,0.36089866156788225,0.02987571701720841,0.016730401529641874,0.0,1.169694072657745,1.1630019120458923,1.0755258126195029,0.3257648183556472,0.02079349904398124,None,None,None
7,maxR2-7,1-bromobutane,0.04609712926277098,0.0686624049063248,0.5872781283470415,2.2146960793756585,2.768937030319215,None,176.846025483039,None,1311.1260986328125,None,0.32887189292543134,0.018881453154870772,0.012189292543018097,0.0,1.2404397705544927,1.2315965583173976,1.1539196940726584,0.3009082217973198,0.005736137667304232,None,None,None
8,maxR2-8,1-bromobutane,0.04402324665286212,0.07026542947238013,0.6146488971334098,2.315059613419281,3.844606310133841,None,174.8875170657693,None,1324.8494873046875,None,0.3025812619502847,-0.010994263862330848,-0.011472275334608465,0.0,1.211042065009562,1.2251434034416837,1.125478011472276,0.29756214149139687,-0.0011950286806872495,None,None,None
9,maxR2-9,1-bromobutane,0.22471489134629616,0.08140585980472315,0.7462275225803915,2.604548789423413,4.176716401596061,None,164.81715381632517,None,1329.0865478515625,None,0.34106118546844943,-0.011233269598469656,-0.020554493307842432,0.0,1.1400573613766687,1.1457934990439729,1.0231835564053484,0.3076003824091725,-0.033221797323138146,None,None,None
10,maxR2-10,1-bromobutane,0.24232359339893741,0.06187887123521707,0.7998910921666248,2.370803123005,4.921184563117263,None,167.69780330608498,None,1338.58447265625,None,0.27748565965583205,0.041347992351816874,0.017686424474190315,0.0,1.1658699808795445,1.1737571701720844,1.0724187380497188,0.3130975143403447,0.03154875717017328,None,None,None
11,maxR2-11,1-bromobutane,0.2404392834894051,0.07709831837741483,0.7470646640593497,2.528596639733587,4.755263471326819,None,166.6395507510009,None,1336.4676513671875,None,0.3083173996175889,0.0344168260038186,-0.0033460803059297333,0.0,1.1644359464627116,1.159177820267685,1.0454110898661555,0.3188336520076489,0.004063097514339366,None,None,None
12,maxR2-12,1-bromobutane,0.18856442443942636,0.06008810702332384,0.7481010026235317,2.4888060789750166,2.6761165175772104,None,169.972692607578,None,1309.94189453125,None,0.34177820267686587,0.024378585086042986,0.025573613766730237,0.0,1.1892925430210322,1.1909655831739971,1.089149139579347,0.3372370936902489,0.01840344168259995,None,None,None
13,maxR2-13,1-bromobutane,0.15182287522176555,0.06002553036662092,0.5474872713041224,2.6176081612791227,2.70934666300067,None,177.0531589553568,None,1310.3658447265625,None,0.3910133843212227,0.0444550669216078,0.040630975143407244,0.0,1.2495219885277267,1.2528680688336564,1.151529636711284,0.35874760994263977,0.042782026768642935,None,None,None
14,maxR2-14,1-bromobutane,0.20856948751976673,0.06142823319974406,0.707653210720383,2.5062538742044294,2.4304928310912794,None,169.49709687718092,None,1306.8082275390625,None,0.33914913957935255,0.0050191204588946,0.020076481835564812,0.0,1.1833173996175892,1.1847514340344152,1.0879541108986597,0.31931166347992657,0.021032504780113256,None,None,None
15,maxR2-15,1-bromobutane,0.20292959227360657,0.0798075731985943,0.6771600339361369,2.479551793437964,5.479131430401517,None,167.510871630758,None,1345.7027587890625,None,0.35898661567877177,0.00454110898661019,-0.008604206500956349,0.0,1.1732791586998068,1.1673040152963639,1.038957934990435,0.3374760994263809,-0.017686424474190315,None,None,None
16,maxR2-16,1-bromobutane,0.18069808401153328,0.06138938836776904,0.7108931830398847,2.5082082178957914,3.88361561128312,None,168.32862651086347,None,1325.34716796875,None,0.3549235181644392,0.02294455066921693,0.0043021032504781745,0.0,1.1747131931166328,1.1692160611854674,1.0807839388145295,0.30592734225621443,0.0038240917782005573,None,None,None
17,maxR2-17,1-bromobutane,0.21763194084033646,0.14802925494713112,0.7659243104734108,2.5649179415226824,5.05980775542797,None,160.86510121889293,None,1340.35302734375,None,0.22036328871892855,0.002151051625242484,-0.1381453154875724,0.0,1.0958413001912064,1.102533460803059,0.902724665391973,0.21152007648183338,-0.14220841300191178,None,None,None
18,maxR2-18,1-bromobutane,0.21517339114785072,0.06332094359120709,0.7179956000399492,2.514984404563804,3.9310161700011794,None,166.97846781784972,None,1325.951904296875,None,0.32456978967495315,-0.0011950286806872495,0.011233269598469656,0.0,1.1608508604206498,1.1661089866156833,1.0611854684512423,0.33317399617590954,0.007648183556407908,None,None,None
19,maxR2-19,1-bromobutane,0.21615631310057937,0.06042935072437757,0.7423823868596248,2.5058226360256204,2.567470303559535,None,166.57881277766998,None,1308.5557861328125,None,0.31285850860421266,0.007648183556407908,0.010277246653921216,0.0,1.1548757170172137,1.1644359464627185,1.056644359464632,0.34584130019120524,-0.005019120458887807,None,None,None
20,minMAPE-0,1-bromobutane,0.26580752070906644,0.09120860715867128,0.7273600885887799,2.51925803865988,5.957404407406141,None,167.0735762737877,None,1351.8045654296875,None,0.31238049713193505,0.006931166347998275,-0.003585086042061749,0.0,1.1563097514340397,1.1701720841300227,1.0473231357552593,0.32648183556405685,-0.011950286806879288,None,None,None
21,minMAPE-1,1-bromobutane,0.17427612518914176,0.09533061684883423,0.6852763180770174,2.475802174347323,2.882185519012584,None,169.8442566029138,None,1312.5709228515625,None,0.3346080305927356,0.017208413001912698,-0.016969407265773888,0.0,1.1706500956022934,1.1978967495219885,1.062858508604207,0.34106118546844943,-0.033460803059276956,None,None,None
22,minMAPE-2,1-bromobutane,0.04400962025380954,0.34358887046097464,0.6792571335000319,2.506857428219534,1.3633870353405741,None,178.1440640891213,None,1293.194091796875,None,-1.050669216061189,0.036328871892922276,0.26218929254301626,0.0,1.1383843212237106,1.148422562141486,1.362093690248562,-1.0532982791587022,0.2617112810707454,None,None,None
23,minMAPE-3,1-bromobutane,0.2632921235517636,0.06011701604580136,0.7165285408908226,2.5060474634276466,0.3644542272495725,None,167.4514297432751,None,1280.44970703125,None,0.30473231357552716,0.030353728489486028,0.021510516252390872,0.0,1.1555927342256234,1.1768642447418753,1.0829349904397718,0.31739961759082286,0.027963671128104738,None,None,None
24,minMAPE-4,1-bromobutane,0.2324207524944177,0.06101047507794095,0.7395433433379774,2.508411639422647,2.8942031011179297,None,168.285492563397,None,1312.7242431640625,None,0.2934990439770575,0.031787762906312085,0.017447418738051505,0.0,1.1742351816443621,1.1778202676864238,1.0700286806883375,0.3379541108986585,0.020793499043974446,None,None,None
25,minMAPE-5,1-bromobutane,0.048718902938987854,0.10120404147921903,0.6839865077458074,2.4966031816164644,0.2621248983480917,None,176.7931048784116,None,1272.455810546875,None,0.32074569789674584,0.0394359464627132,-0.031070745697902455,0.0,1.240200764818354,1.2394837476099374,1.093451242829825,0.31166347992351184,-0.040391969407268434,None,None,None
26,minMAPE-6,1-bromobutane,0.2242595754420249,0.06978367671445994,0.7120603764137078,2.5395676326624597,8.870529459456815,None,168.75023501158918,None,1388.97021484375,None,0.3570745697896749,0.007648183556407908,0.02533460803059143,0.0,1.180688336520076,1.1883365200764837,1.0616634799235198,0.35396749521988397,0.012667304015295715,None,None,None
27,minMAPE-7,1-bromobutane,0.19845904846900755,0.06009445270051066,0.729063385711423,2.514239742488833,2.9810626635003565,None,165.98771071250852,None,1313.8323974609375,None,0.33436902485659675,0.0021510516252356907,-0.015057361376670214,0.0,1.1412523900573628,1.1601338432122335,1.0590344168260066,0.30712237093690165,0.000956022944548441,None,None,None
28,minMAPE-8,1-bromobutane,0.13391628942626277,0.0959786278746215,0.7462173657667703,2.469023282655149,6.408322076099314,None,171.60664916012917,None,1357.557373046875,None,0.33173996175907666,0.013145315487566539,-0.03656787762906788,0.0,1.1976577437858498,1.2012428298279116,1.055449330783938,0.315726577437858,-0.02891969407265997,None,None,None
29,minMAPE-9,1-bromobutane,0.2046621407915497,0.07744699984127824,0.6745859381820662,2.4706495882942616,8.768370443422759,None,166.1763195669401,None,1387.6668701171875,None,0.3350860420650064,-0.017447418738051505,-0.01792543021032912,0.0,1.1467495219885282,1.1603728489483722,1.0442160611854683,0.34369024856596275,-0.023422562141494546,None,None,None
30,minMAPE-10,1-bromobutane,0.21217418830100274,0.06104626700568554,0.653131777618735,2.4956385759371935,4.473156472287,None,170.1902496196943,None,1332.8685302734375,None,0.3563575525812652,0.03011472275334722,0.016969407265773888,0.0,1.1933556405353716,1.1907265774378584,1.1037284894837465,0.36328871892925674,0.0368068833651999,None,None,None
