,Dens1SimMAPE,Dens2SimMAPE,RCE1MAPE,RCE2MAPE,SigC800,SigBr730,EpsC800,EpsBr730,Dens1PredMAPE,Dens1Pred,Dens2PredMAPE,Dens2Pred,Dens1Sim,Dens1SimErr,Dens2Sim,Dens2SimErr,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,RCE21,RCE22,RCE23,#
9,1.5935099545383233,None,164.81715381632517,None,0.2247148913462961,0.0814058598047231,0.7462275225803915,2.604548789423413,4.176716401596061,1329.0865478515625,None,None,1255.47,1.3,1265.79,1.7,0.3410611854684494,-0.0112332695984696,-0.0205544933078424,0.0,1.140057361376669,1.1457934990439729,1.0231835564053484,0.3076003824091725,-0.0332217973231381,None,None,None,maxR2-9
20,1.6091863928515422,None,167.0735762737877,None,0.2658075207090664,0.0912086071586712,0.7273600885887799,2.51925803865988,5.957404407406141,1351.8045654296875,None,None,1255.27,0.84,1268.69,1.7,0.312380497131935,0.0069311663479982,-0.0035850860420617,0.0,1.1563097514340397,1.1701720841300227,1.0473231357552593,0.3264818355640568,-0.0119502868068792,None,None,None,minMAPE-0
38,1.6248628311647608,None,167.94977476404353,None,0.2652480114550617,0.0974098347849065,0.7365776902254813,2.534024330378671,5.384980946391484,1344.5015869140625,None,None,1255.07,0.94,1268.7,0.87,0.3140535372848931,0.030353728489486,-0.0229445506692169,0.0,1.163240917782031,1.181644359464631,1.03991395793499,0.3315009560229446,-0.0093212237093659,None,None,None,minMAPE-18
30,1.7126508857187577,None,170.1902496196943,None,0.2121741883010027,0.0610462670056855,0.653131777618735,2.495638575937193,4.473156472287,1332.8685302734375,None,None,1253.95,1.2,1268.09,1.3,0.3563575525812652,0.0301147227533472,0.0169694072657738,0.0,1.1933556405353716,1.1907265774378584,1.1037284894837465,0.3632887189292567,0.0368068833651999,None,None,None,minMAPE-10
19,1.724408214453676,None,166.57881277766998,None,0.2161563131005793,0.0604293507243775,0.7423823868596248,2.5058226360256204,2.567470303559535,1308.5557861328125,None,None,1253.8,0.69,1267.81,1.4,0.3128585086042126,0.0076481835564079,0.0102772466539212,0.0,1.1548757170172137,1.1644359464627183,1.056644359464632,0.3458413001912052,-0.0050191204588878,None,None,None,maxR2-19
3,1.7510581595861359,None,169.6192576410021,None,0.2644452581533001,0.0605420106021312,0.7184885134807619,2.5330423834388065,4.3449912554867565,1331.2333984375,None,None,1253.46,1.4,1266.48,0.77,0.2825047801147266,0.0523422562141477,0.0305927342256248,0.0,1.1794933078393883,1.192638623326962,1.0846080305927368,0.2954110898661611,0.0274856596558339,None,None,None,maxR2-3
11,1.759680200658414,None,166.6395507510009,None,0.2404392834894051,0.0770983183774148,0.7470646640593497,2.528596639733587,4.755263471326819,1336.4676513671875,None,None,1253.35,1.3,1268.65,1.8,0.3083173996175889,0.0344168260038186,-0.0033460803059297,0.0,1.1644359464627116,1.159177820267685,1.0454110898661555,0.3188336520076489,0.0040630975143393,None,None,None,maxR2-11
5,1.7690860636463346,None,168.24066500050108,None,0.2220421899070281,0.0607087362787667,0.7066482822491034,2.5014565865860474,3.2354124924067285,1317.077392578125,None,None,1253.23,0.76,1267.65,0.55,0.3121414913957894,0.0286806883365211,0.0270076481835562,0.0,1.177581261950285,1.1711281070745712,1.0803059273422515,0.3288718929254313,0.0172084130019126,None,None,None,maxR2-5
7,1.7980874745257922,None,176.846025483039,None,0.0460971292627709,0.0686624049063248,0.5872781283470415,2.2146960793756585,2.768937030319215,1311.1260986328125,None,None,1252.86,0.93,1264.24,1.2,0.3288718929254313,0.0188814531548707,0.012189292543018,0.0,1.2404397705544927,1.2315965583173976,1.1539196940726584,0.3009082217973198,0.0057361376673042,None,None,None,maxR2-7
0,1.8098448032606926,None,172.21673287261484,None,0.1779186617536801,0.0632986265264946,0.4215784380458451,2.414819713838001,3.807156615579444,1324.3717041015625,None,None,1252.71,1.2,1266.23,1.1,0.3477533460803089,0.0322657743785897,-0.0047801147227489,0.0,1.198852772466544,1.212476099426388,1.0972753346080326,0.3130975143403447,0.016491395793503,None,None,None,maxR2-0
4,1.8247374196582515,None,166.58925005547744,None,0.2443079262198364,0.0608418968340481,0.7352450688922518,2.5359350021905542,3.478778098178598,1320.1822509765625,None,None,1252.52,0.67,1266.77,1.5,0.3283938814531537,0.0143403441682537,0.0076481835564011,0.0,1.159655831739956,1.1594168260038238,1.0530592734225568,0.2691204588910077,0.0105162523900532,None,None,None,maxR2-4
