,#,MAPE_dens1,MAPE_dens2,MAPE_RCE1,MAPE_RCE2,SigC800,SigBr730,EpsC800,EpsBr730
16,maxR2-16,None,0.1446167605007894,None,108.69809644582998,0.0591666315185295,0.4585878161926938,0.385007014532526,2.424443132622871
39,minMAPE-19,None,0.2061264120252491,None,114.93547556988815,0.2053296859610126,0.4576671125310712,0.3894194243939285,2.352278788166302
38,minMAPE-18,None,0.2082295338395668,None,104.37445864392632,0.2366300169632924,0.4655564588406518,0.4576660815652646,2.420636651601769
32,minMAPE-12,None,0.3894030301874954,None,101.7991771116446,0.3017224205732152,0.4724281926538886,0.3980480926898339,2.302735516770233
24,minMAPE-4,None,0.4675850985563601,None,114.3093750138748,0.21695720896921,0.4442003713575117,0.37912593278303,2.2862834119698823
36,minMAPE-16,None,0.5284594388935459,None,105.54396722968708,0.2357931288979535,0.4692809031491494,0.3860067565795209,2.2848898599213783
29,minMAPE-9,None,0.5484466855020148,None,101.64560527715068,0.1310745011672471,0.4753501828746314,0.5855324353308355,2.405459525079096
37,minMAPE-17,None,1.0489742606463868,None,107.0678723565878,0.2267237318894021,0.4612330081104864,0.5741333158826651,2.5100988323936178
26,minMAPE-6,None,1.0680849229148044,None,106.61897007114412,0.2329783712923219,0.4624513635851568,0.376591452797785,2.2861794090952765
17,maxR2-17,None,1.6634689930710194,None,93.15190150783695,0.0446124269830147,0.4956183501013189,0.5644130701334474,2.375830000009761
34,minMAPE-14,None,2.5539065529523883,None,105.3195160869652,0.2140778040623706,0.4703824386468708,0.3686114170230953,2.281402375911949
33,minMAPE-13,None,2.687227457797286,None,102.5788495021522,0.2061785062358189,0.4716519513027185,0.3812400761986097,2.282522636959528
20,minMAPE-0,None,5.525559152117207,None,78.29087321604753,0.1841875388396101,0.5386909999427444,0.5355542732995018,2.46455995014775
19,maxR2-19,None,10.287503455749356,None,104.35083220785022,0.1243388851377788,0.4710222274790365,0.4438611150224738,2.405137486307451
18,maxR2-18,None,10.881232708890693,None,102.81511386291142,0.1599450079339028,0.4756082527646982,0.5832207969952978,2.382704057161469
3,maxR2-3,None,10.885756667793236,None,101.49203344265676,0.1998764282678583,0.473182629235667,0.7744168050274923,2.4638675067259914
5,maxR2-5,None,11.198023024633189,None,104.8824270195599,0.1763897623795076,0.4718128969398797,0.4892534514195089,2.448244166129508
4,maxR2-4,None,11.459404337947374,None,102.76786099075991,0.1800279631566829,0.4720593771559997,0.4488483796367727,2.515988015440965
15,maxR2-15,None,11.462269385994214,None,102.67335524645556,0.2788796605412943,0.4719205213252351,0.546515729891628,2.5141221005972283
9,maxR2-9,None,11.72334815695834,None,101.91730929202436,0.1438799155509244,0.4713050679447229,0.4662971012632407,2.4598121816597067
14,maxR2-14,None,11.797334168560573,None,103.44121441892511,0.1774112927766728,0.4701322969967299,0.6109805106791698,2.46171783537239
7,maxR2-7,None,11.861664897447358,None,101.89368285594864,0.1910395025148133,0.475615012477627,0.5251239869355597,2.459823010087676
1,maxR2-1,None,11.87831275304732,None,101.0903840293656,0.1781540053185554,0.4698962559257695,0.5278685205687204,2.4332338706911574
10,maxR2-10,None,11.917835290169592,None,100.21620589455428,0.1999971643078442,0.4711972492722339,0.4693638278694861,2.4574433849591704
6,maxR2-6,None,12.025247535468424,None,97.4282864375891,0.3476370066700742,0.4761814542512325,0.647345002321176,2.604565253617721
0,maxR2-0,None,13.128434219636436,None,100.55878921765591,0.1392800244762511,0.4724380866820643,0.500676246060624,2.4307864574380056
8,maxR2-8,None,14.62985790836368,None,102.0945075625947,0.1227435893898442,0.470790978756799,0.4527097922584908,2.4372649157709705
30,minMAPE-10,None,16.781407971205955,None,102.8269270809498,0.2345083436638636,0.4768430802801827,0.2284709848141968,2.0920548523463025
12,maxR2-12,None,21.321291496169064,None,103.50028050911502,0.0874257347321535,0.4687331527022013,0.4707250880980833,2.3980582432674424
13,maxR2-13,None,24.17395837295761,None,101.69285814930286,0.0828460626758612,0.4722901970168372,0.4848885403633867,2.4375328628812527
28,minMAPE-8,None,24.334515301119588,None,103.0631914417097,0.2223266097604392,0.4703530604635137,0.3786467988197584,2.2828073818711547
2,maxR2-2,None,24.385680530830093,None,102.0590679084806,0.0805390372250811,0.4716054971553906,0.5675581637144995,2.557776988339015
22,minMAPE-2,None,32.92612826416878,None,102.29533226924012,0.2162350119065583,0.470058720756745,0.37814975480807,2.281750631847146
35,minMAPE-15,None,36.4254368839872,None,103.98462244867252,0.2334941418647721,0.4704541108478325,0.6133669258059691,2.4970870969159087
11,maxR2-11,None,39.82352255638222,None,100.23983233063004,0.0497642734229705,0.4770592196772916,0.4929971598594613,2.365104215626462
25,minMAPE-5,None,47.58459752544695,None,103.16951040405112,0.2041565753489242,0.4736037153900748,0.4283983759220739,2.256741797929372
23,minMAPE-3,None,52.37783731587074,None,102.29533226924012,0.2162350119065583,0.470058720756745,0.37814975480807,2.281750631847146
27,minMAPE-7,None,3447.6413883631444,None,102.59066272018993,0.0683926786307356,0.4726216253841288,0.5205004469009404,2.445274545190567
21,minMAPE-1,None,16592.77048751173,None,101.2439558638595,0.231514502453531,0.4729467302960876,0.2595744923259142,3.4005767086352496
31,minMAPE-11,None,25200.805498908703,None,100.45247025531386,0.2019382393790097,0.4657638367202923,0.5892632980900682,3.502457832648909
