,#,substance,SigC800,SigBr730,EpsC800,EpsBr730,MAPE_dens1,MAPE_dens2,MAPE_RCE1,MAPE_RCE2,prediction_1-bromobutane,prediction_2-bromobutane,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,RCE21,RCE22,RCE23
0,maxR2-0,2-bromobutane,0.13928002447625118,0.4724380866820643,0.500676246060624,2.4307864574380056,None,13.128434219636437,None,100.55878921765591,None,1423.7213446541246,None,None,None,None,None,None,None,None,None,0.0,-0.6857074569789674,0.0
1,maxR2-1,2-bromobutane,0.17815400531855546,0.4698962559257695,0.5278685205687204,2.4332338706911574,None,11.87831275304732,None,101.0903840293656,None,1407.9885659971005,None,None,None,None,None,None,None,None,None,0.0,-0.6964627151051662,0.0
2,maxR2-2,2-bromobutane,0.08053903722508117,0.4716054971553906,0.5675581637144995,2.557776988339015,None,24.385680530830093,None,102.05906790848059,None,1565.3937894804967,None,None,None,None,None,None,None,None,None,0.0,-0.7160611854684534,0.0
3,maxR2-3,2-bromobutane,0.19987642826785837,0.473182629235667,0.7744168050274923,2.4638675067259914,None,10.885756667793235,None,101.49203344265676,None,1395.4972476641778,None,None,None,None,None,None,None,None,None,0.0,-0.7045889101338382,0.0
4,maxR2-4,2-bromobutane,0.18002796315668293,0.4720593771559997,0.44884837963677277,2.5159880154409655,None,11.459404337947374,None,102.76786099075991,None,1402.7166035930677,None,None,None,None,None,None,None,None,None,0.0,-0.730401529636714,0.0
5,maxR2-5,2-bromobutane,0.1763897623795076,0.47181289693987977,0.4892534514195089,2.4482441661295073,None,11.198023024633189,None,104.8824270195599,None,1399.4271197650087,None,None,None,None,None,None,None,None,None,0.0,-0.773183556405357,0.0
6,maxR2-6,2-bromobutane,0.34763700667007424,0.4761814542512325,0.647345002321176,2.6045652536177215,None,12.025247535468425,None,97.4282864375891,None,1409.8377402338701,None,None,None,None,None,None,None,None,None,0.0,-0.6223709369024888,0.0
7,maxR2-7,2-bromobutane,0.19103950251481336,0.47561501247762705,0.5251239869355597,2.459823010087676,None,11.861664897447358,None,101.89368285594863,None,1407.779052734375,None,None,None,None,None,None,None,None,None,0.0,-0.7127151051625237,0.0
8,maxR2-8,2-bromobutane,0.12274358938984425,0.470790978756799,0.45270979225849084,2.4372649157709705,None,14.62985790836368,None,102.0945075625947,None,1442.616761776757,None,None,None,None,None,None,None,None,None,0.0,-0.7167782026768699,0.0
9,maxR2-9,2-bromobutane,0.14387991555092444,0.47130506794472293,0.4662971012632407,2.4598121816597067,None,11.723348156958341,None,101.91730929202436,None,1406.0383365553207,None,None,None,None,None,None,None,None,None,0.0,-0.7131931166347946,0.0
10,maxR2-10,2-bromobutane,0.19999716430784426,0.47119724927223394,0.4693638278694861,2.4574433849591704,None,11.917835290169593,None,100.21620589455429,None,1408.4859571267843,None,None,None,None,None,None,None,None,None,0.0,-0.6787762906309759,0.0
11,maxR2-11,2-bromobutane,0.04976427342297052,0.4770592196772916,0.4929971598594613,2.365104215626462,None,39.82352255638222,None,100.23983233063005,None,1759.6790313720703,None,None,None,None,None,None,None,None,None,0.0,-0.6792543021032468,0.0
12,maxR2-12,2-bromobutane,0.08742573473215354,0.46873315270220134,0.4707250880980833,2.3980582432674424,None,21.321291496169064,None,103.50028050911502,None,1526.8284534792876,None,None,None,None,None,None,None,None,None,0.0,-0.7452198852772455,0.0
