,Dens1SimMAPE,Dens2SimMAPE,RCE1MAPE,RCE2MAPE,SigC800,SigBr730,EpsC800,EpsBr730,Dens1PredMAPE,Dens1Pred,Dens2PredMAPE,Dens2Pred,Dens1Sim,Dens1SimErr,Dens2Sim,Dens2SimErr,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,RCE21,RCE22,RCE23,#
9,1.0863771751058082,None,173.97408407020507,None,0.3144200507918913,0.1596612898995752,0.7561371346655261,2.567022474988165,1.0904195223095277,1261.888427734375,None,None,1261.94,1.5,1274.23,1.8,0.1419694072657729,0.0241395793499041,-0.1307361376673101,0.0,1.1904875717017196,1.2108030592734162,1.0004780114722702,0.1921606118546782,-0.1269120458891027,None,None,None,maxR2-9
7,1.1804358049851031,None,169.31031170644036,None,0.294335126056868,0.1211511382644269,0.7509323983414198,2.524691002006334,0.2319330528386944,1272.840998111884,None,None,1260.74,1.1,1272.73,0.52,0.2655353728489459,0.0222275334608005,-0.0724187380497125,0.0,1.1723231357552584,1.1725621414913971,1.0121892925430174,0.2100860420650073,-0.0678776290630955,None,None,None,maxR2-7
14,1.3387678319485756,None,166.78442444440725,None,0.2937207089893282,0.1214097147168121,0.7433045495383213,2.510683111907154,0.1439149622252678,1273.96393291193,None,None,1258.72,0.68,1272.95,0.55,0.2602772466539194,-0.0133843212237121,-0.0934512428298258,0.0,1.1398183556405366,1.1579827915869978,0.9885277246653909,0.2390057361376673,-0.0901051625239028,None,None,None,maxR2-14
18,1.3419031196112157,None,172.49950656552608,None,0.2923655263367365,0.1241836346130962,0.7474716659510109,2.5201976575562024,0.3397295195536298,1271.4657307895347,None,None,1258.68,2.2,1271.76,1.3,0.2464149139579363,0.0437380497131913,-0.0480401529636695,0.0,1.2026768642447443,1.203154875717022,1.041586998087955,0.2619502868068842,-0.0480401529636695,None,None,None,maxR2-18
19,1.3952030098761525,None,168.08755468438883,None,0.2831718248581479,0.1193437253800231,0.7528209533402819,2.513935266101646,0.2832854133854645,1272.1858446960282,None,None,1258.0,0.68,1270.84,0.71,0.2770076481835612,0.01051625239006,-0.0475621414913919,0.0,1.1692160611854745,1.1684990439770575,1.012906309751434,0.2980401529636745,-0.0509082217973216,None,None,None,maxR2-19
15,1.420285311177292,None,168.930115150747,None,0.2952771966002967,0.1269527237813005,0.7609010263897285,2.519557903477256,0.2103030508860186,1273.116953676796,None,None,1257.68,0.5,1271.29,0.97,0.2304015296367109,-0.01051625239006,-0.1001434034416852,0.0,1.167304015296364,1.165152963671128,0.9949808795411048,0.2492829827915885,-0.0903441682600416,None,None,None,maxR2-15
2,1.4680984480326085,None,165.22834256220045,None,0.2656542343335404,0.0892193063272798,0.8456325957945263,2.5382408480290777,103.60728446333847,2597.621735183272,None,None,1257.07,1.1,1272.72,1.9,0.3035372848948399,0.0138623326959829,-0.0231835564053557,0.0,1.1534416826003808,1.143881453154876,1.021749521988529,0.311185468451241,-0.0107552581261988,None,None,None,maxR2-2
25,1.627998118827401,None,168.51690823843705,None,0.2602436413348098,0.0857099874119002,0.7274271314089726,2.5157904566301057,58470.523094520366,-744691.1336398907,None,None,1255.03,1.3,1269.27,1.9,0.286806883365198,0.0650095602294434,0.0217495219885228,0.0,1.1694550669216062,1.1859464627151024,1.0795889101338425,0.3386711281070749,0.021271510516252,None,None,None,minMAPE-5
8,1.6319172284057013,None,166.20008266826855,None,0.2212926597350235,0.089574075262981,0.7060912763932031,2.5338488789855225,105.92548561763482,2627.197345509785,None,None,1254.98,2.0,1265.66,1.5,0.3389101338432137,-0.0033460803059297,-0.0296367112810696,0.0,1.1584608030592751,1.1505736137667286,1.029636711281069,0.3140535372848931,-0.0289196940726599,None,None,None,maxR2-8
30,1.64367455714062,None,168.51690823843705,None,0.2602436413348217,0.0857099874119013,0.7274271314089719,2.5157904566301057,14076.616124113136,-178313.6685114354,None,None,1254.83,0.35,1269.6,1.3,0.286806883365198,0.0650095602294434,0.0217495219885228,0.0,1.1694550669216062,1.1859464627151024,1.0795889101338425,0.3386711281070749,0.021271510516252,None,None,None,minMAPE-10
