,#,MAPE_dens1,MAPE_dens2,MAPE_RCE1,MAPE_RCE2,SigC800,SigBr730,EpsC800,EpsBr730
14,maxR2-14,0.1439149622252678,None,166.78442444440725,None,0.2937207089893282,0.1214097147168121,0.7433045495383213,2.510683111907154
15,maxR2-15,0.2103030508860186,None,168.930115150747,None,0.2952771966002967,0.1269527237813005,0.7609010263897285,2.519557903477256
7,maxR2-7,0.2319330528386944,None,169.31031170644036,None,0.294335126056868,0.1211511382644269,0.7509323983414198,2.524691002006334
19,maxR2-19,0.2832854133854645,None,168.08755468438883,None,0.2831718248581479,0.1193437253800231,0.7528209533402819,2.513935266101646
18,maxR2-18,0.3397295195536298,None,172.49950656552608,None,0.2923655263367365,0.1241836346130962,0.7474716659510109,2.5201976575562024
36,minMAPE-16,0.5400917874154197,None,161.86515334669437,None,0.218626519373339,0.2984572348076492,0.6001477679531374,2.499712818822634
9,maxR2-9,1.0904195223095277,None,173.97408407020507,None,0.3144200507918913,0.1596612898995752,0.7561371346655261,2.567022474988165
16,maxR2-16,49.51908238948112,None,161.56721006055974,None,0.235145520488975,0.1165559002272129,0.8600217678096923,2.6522798776869734
6,maxR2-6,61.55105527244064,None,165.25557094029813,None,0.2139955074446447,0.1127405888311576,0.6823444642296311,2.4975830076899124
0,maxR2-0,85.07693746881687,None,167.54051305865818,None,0.26009193603003,0.096593712936065,0.720299690338746,2.5021199040314057
13,maxR2-13,92.2917636292676,None,166.49782902727344,None,0.2225581034500916,0.0949258479156313,0.7983580247459988,2.538210510738011
2,maxR2-2,103.60728446333847,None,165.22834256220045,None,0.2656542343335404,0.0892193063272798,0.8456325957945263,2.5382408480290777
11,maxR2-11,103.75220059636544,None,165.19066108276235,None,0.2375780899295784,0.0852748584083159,0.7256140171151808,2.51747139135637
8,maxR2-8,105.92548561763482,None,166.20008266826855,None,0.2212926597350235,0.089574075262981,0.7060912763932031,2.5338488789855225
10,maxR2-10,112.47390962683738,None,165.25433439933522,None,0.2383599820367696,0.0860785429964999,0.7268051201048957,2.517915993086965
4,maxR2-4,117.81878199501864,None,168.52737207316193,None,0.2059395554825044,0.0891475113916295,0.7233946060719763,2.5209833025798054
5,maxR2-5,156.06466424318566,None,166.5752799485901,None,0.2345961776022646,0.0727468387250248,0.7043587714175291,2.5017285034168077
1,maxR2-1,175.52897071022778,None,170.44920806135676,None,0.2244534533792325,0.0709481079903362,0.6853062831462948,2.526107980717329
3,maxR2-3,204.51088101958152,None,166.66319415439386,None,0.2295543373979865,0.0623135839286491,0.6859430918301296,2.516452052336541
12,maxR2-12,224.60240479860025,None,166.40930435656173,None,0.2551516641910329,0.0604697249315434,0.6860362326425126,2.5085299608939216
17,maxR2-17,225.35428225513897,None,169.79469665542712,None,0.2055762900227638,0.0617146398017438,0.6736368919422882,2.5040259814271093
37,minMAPE-17,1989.43706591343,None,168.51690823843705,None,0.2602436413348098,0.0857099874119002,0.7274271314089726,2.5157904566301057
39,minMAPE-19,2002.8750968796849,None,167.06853741066902,None,0.2276200076714044,0.079622654238933,0.7195303831355607,2.501084649342992
34,minMAPE-14,7330.25698544445,None,168.51690823843705,None,0.2602436413348098,0.0857099874119002,0.7274271314089726,2.5157904566301057
38,minMAPE-18,8794.725547627782,None,167.57640873679205,None,0.2372771453303443,0.0765117211344864,0.6478611656099007,2.443645291201181
20,minMAPE-0,11873.88578643758,None,168.51690823843705,None,0.2602436413348098,0.0857099874119002,0.7274271314089726,2.5157904566301057
30,minMAPE-10,14076.616124113136,None,168.51690823843705,None,0.2602436413348217,0.0857099874119013,0.7274271314089719,2.5157904566301057
33,minMAPE-13,15559.121831483368,None,168.51690823843705,None,0.2602436413348098,0.0857099874119002,0.7274271314089726,2.5157904566301057
35,minMAPE-15,16900.93093736214,None,168.00640064190318,None,0.2051643123181159,0.0602163690409153,0.6675221129422483,2.563219723936048
21,minMAPE-1,18507.698090341768,None,168.97922222664835,None,0.203512000858345,0.0619267220149788,0.691534963399125,2.510318209289041
22,minMAPE-2,19203.887000618128,None,167.06853741066902,None,0.2276200076714162,0.0796226542389341,0.71953038313556,2.501084649342992
31,minMAPE-11,22779.058852017708,None,168.51690823843705,None,0.2602436413348098,0.0857099874119002,0.7274271314089726,2.5157904566301057
32,minMAPE-12,23194.890103734087,None,168.51690823843705,None,0.2602436413348098,0.0857099874119002,0.7274271314089726,2.5157904566301057
29,minMAPE-9,24771.86971216942,None,167.10235887965365,None,0.2030186157796596,0.0782714337182458,0.7186796153810843,2.478654964159641
27,minMAPE-7,24831.888400850054,None,168.51690823843705,None,0.2602436413348098,0.0857099874119002,0.7274271314089726,2.5157904566301057
28,minMAPE-8,26146.03829129837,None,164.52340747732325,None,0.2473335702423207,0.0899799529915565,0.7313897169294158,2.519524294547751
23,minMAPE-3,26420.096038168624,None,168.51690823843705,None,0.2602436413348098,0.0857099874119002,0.7274271314089726,2.5157904566301057
24,minMAPE-4,53095.39549954594,None,168.0101033849872,None,0.2242645876863424,0.0797340558413007,0.7206978117413813,2.504521318214089
26,minMAPE-6,56663.56646641131,None,168.51690823843705,None,0.2602436413348098,0.0857099874119002,0.7274271314089726,2.5157904566301057
25,minMAPE-5,58470.523094520366,None,168.51690823843705,None,0.2602436413348098,0.0857099874119002,0.7274271314089726,2.5157904566301057
