,#,MAPE_dens1,MAPE_dens2,MAPE_RCE1,MAPE_RCE2,SigC800,SigBr730,EpsC800,EpsBr730
38,minMAPE-18,1.3731172820852515,2.3766655989959213,217.75837346086763,56.386162239796846,0.2205246408531215,0.2867388230656735,0.3780701015174641,2.4130971064925584
32,minMAPE-12,3.813546067178206,36.23505790625767,239.09704475637312,25.569946877957943,0.2452157308447184,0.3737105447793111,0.6524119711352692,2.4975533331352424
27,minMAPE-7,4.350724572446922,1065.2853245446202,245.03336061263687,35.20057433494664,0.1221207824916839,0.3534600895967795,0.3985186116616716,2.3358210916530044
36,minMAPE-16,0.3479669090587541,27.592368067838297,245.2547104442889,25.38753699385468,0.2138927436048927,0.3735627282009818,0.5240333178824252,2.325719014471898
29,minMAPE-9,1229.4203917658697,155.2230258193644,249.56999097321497,24.953592977502247,0.1200198197974893,0.3721127293147561,0.5297451125215289,2.5305647422868804
34,minMAPE-14,319.7510485627432,0.9151011925926272,249.6363193115888,28.78883389941761,0.122185431194317,0.3640151275726995,0.3865538691043388,2.4165739407349327
22,minMAPE-2,339.93628447894946,713.3788442216224,251.2946432035683,27.50263220234162,0.1338002324651492,0.3768332045871959,0.5255318158828072,2.558994492797261
31,minMAPE-11,303.54801984604603,124.9748765488359,252.79974748195272,27.92922434677007,0.1342788267478524,0.379878945858919,0.7461030823949953,2.4589587408794835
30,minMAPE-10,379.0122909259695,2420.9805586719776,253.57031501149345,25.42845068580745,0.0954279215069326,0.3731106864840427,0.3932724794827875,2.317081917171723
33,minMAPE-13,941.922708773855,340.3173659232149,254.1449750266707,26.302366396313044,0.110260705378729,0.3740699636758399,0.3890325579911225,2.329002264609925
20,minMAPE-0,5863.005072772176,273.2338345702109,254.28048659701705,28.047393375105205,0.0882006519798662,0.3786449535060418,0.3687410065227145,2.307135271729346
24,minMAPE-4,1690.7189309666471,253.6158699514163,254.86030474383688,27.2873248395801,0.1018550731123758,0.3766583651331177,0.3894246947538864,2.330527390214434
23,minMAPE-3,940.6148378930136,933.5845745365842,260.60954458941666,28.81554392077329,0.1083239754066403,0.384159075601632,0.3829671430755227,2.3156831478941835
35,minMAPE-15,13.662740683437407,0.690290584633357,273.4378814760713,35.69275257909697,0.3291663863174623,0.4018304205677219,0.5760070120992535,2.4100664298758563
26,minMAPE-6,122.6939178246384,2.999011021925904,273.4640285153104,41.15895995861099,0.1539034530652915,0.4092792575585356,0.424657475162345,2.3156344712728094
21,minMAPE-1,0.0666638892035961,20.35843254580212,328.7047841684457,66.22931117734579,0.3405859118741677,0.4769637421890831,0.4608138186732009,2.387465583175105
