,ratio,rndint,mape,r2
0,0.05,678.0,0.14464293410504597,0.5776294704930595
1,0.05,147.0,0.14130739879814694,0.6339871037022646
2,0.05,561.0,0.16588565995722485,0.526112588414775
3,0.05,237.0,0.16018662117082497,0.5537840898318036
4,0.05,588.0,0.17443690194308445,0.5035403916216907
5,0.05,951.0,0.12641426573747536,0.6502514192053975
6,0.05,490.0,0.1398284636632899,0.6075805992246576
7,0.05,395.0,0.13109097475352688,0.6236699182659348
8,0.05,877.0,0.16274776180182793,0.6774206588012953
9,0.05,297.0,0.15401406132265597,0.5999790737656419
10,0.05,721.0,0.14780580619046144,0.5924705490915755
11,0.05,711.0,0.1275920227231834,0.6165131075217913
12,0.05,985.0,0.12807804418816635,0.6441829279202612
13,0.05,171.0,0.13711847544647507,0.5975308234241291
14,0.05,75.0,0.1530718839258268,0.5402826676071394
15,0.05,16.0,0.153075101436773,0.5928663913677944
16,0.05,669.0,0.13934576555929978,0.583219310558712
17,0.05,530.0,0.1647909577475571,0.5354990655102096
18,0.05,999.0,0.13790711717017207,0.6180705844926986
19,0.05,794.0,0.14488290253313751,0.6597553824829892
20,0.05,936.0,0.12856227864167769,0.646091030019635
21,0.05,111.0,0.1455819319567917,0.5955260756635583
22,0.05,816.0,0.14607821578612795,0.6082476515685704
23,0.05,968.0,0.17354483527483802,0.5223466111802573
24,0.05,48.0,0.12424965110952443,0.6659029703253443
25,0.05,986.0,0.14286434035765966,0.637588868744206
26,0.05,829.0,0.14364217428439427,0.5345388190001874
27,0.05,996.0,0.18949566132312645,0.4452487688168707
28,0.05,272.0,0.1294957678324879,0.5260930431542592
29,0.05,759.0,0.14804621185066105,0.5143553859283764
30,0.05,390.0,0.16556141338652888,0.5164947907553875
31,0.05,930.0,0.14741980837750987,0.6107955687850035
32,0.05,633.0,0.15813566789288375,0.5024926282245509
33,0.05,928.0,0.16522171093012533,0.558567512744398
34,0.05,854.0,0.15186808413850741,0.6191370733169608
35,0.05,554.0,0.16291699932134898,0.49182907754447147
36,0.05,562.0,0.13501572954630944,0.5787801717828241
37,0.05,78.0,0.1274756630649253,0.6937306359900994
38,0.05,222.0,0.13813249889440046,0.5695317939815894
39,0.05,294.0,0.13982766943298988,0.6116976033725934
40,0.05,725.0,0.15245132855339408,0.5843061176956107
41,0.05,582.0,0.15287062543342012,0.5950021530783625
42,0.05,731.0,0.1342012924403147,0.5896366770892731
43,0.05,249.0,0.13226832834408978,0.6558248777295859
44,0.05,791.0,0.1586585967979254,0.45049158637062836
45,0.05,35.0,0.17315090218851936,0.5404995221703861
46,0.05,180.0,0.14272336940276636,0.5909201172099516
47,0.05,510.0,0.1247431961915767,0.633596366282287
48,0.05,593.0,0.1662055662164146,0.6283626570854313
49,0.05,634.0,0.14928580472567948,0.5566240428787647
50,0.1,678.0,0.1381092598020741,0.579406398115534
51,0.1,147.0,0.13479917068287922,0.635751514605136
52,0.1,561.0,0.15889806305505458,0.5633439246325107
53,0.1,237.0,0.15745055217331108,0.5394672776540881
54,0.1,588.0,0.15535731910415018,0.5761063638006192
55,0.1,951.0,0.13479115208183448,0.6733733421859908
56,0.1,490.0,0.14847433613119485,0.5891330921339929
57,0.1,395.0,0.13457208069148036,0.6268443852989705
58,0.1,877.0,0.16674726302567705,0.6349500189994077
59,0.1,297.0,0.13882418504582275,0.6449453702095294
60,0.1,721.0,0.1386540260588401,0.5833146104519655
61,0.1,711.0,0.13374058791003163,0.6111998499487443
62,0.1,985.0,0.13779656447327757,0.6053118744127337
63,0.1,171.0,0.16453325134906854,0.5569895799409679
64,0.1,75.0,0.16122947041261323,0.5674082050234436
65,0.1,16.0,0.15378735916183556,0.5956773326576237
66,0.1,669.0,0.1337117822446508,0.6247685566674743
67,0.1,530.0,0.1520790928886666,0.5639625832901802
68,0.1,999.0,0.14475897964180567,0.6033669709229511
69,0.1,794.0,0.14766415882656062,0.6081136835379674
70,0.1,936.0,0.14608859682652714,0.5997782248101836
71,0.1,111.0,0.14039066784793464,0.573500115368732
72,0.1,816.0,0.14507420947685812,0.5669763164326965
73,0.1,968.0,0.15998075308863216,0.5872372669369217
74,0.1,48.0,0.125398771777723,0.6437772061501708
75,0.1,986.0,0.15870436516482936,0.5745816358141174
76,0.1,829.0,0.13768152810366222,0.5811214217499796
77,0.1,996.0,0.17560373026368212,0.49168675242208615
78,0.1,272.0,0.12865743101636526,0.5993064965436958
79,0.1,759.0,0.14168414609408653,0.5416867895597852
80,0.1,390.0,0.16270180747245944,0.5233493240458083
81,0.1,930.0,0.14499148921655924,0.5670234424208029
82,0.1,633.0,0.15617817353620048,0.4901210101925263
83,0.1,928.0,0.1515562631934532,0.5542251086345588
84,0.1,854.0,0.15355902931380794,0.5753007817155157
85,0.1,554.0,0.14072709941958703,0.5318474509991072
86,0.1,562.0,0.15041984370693237,0.6047730378577426
87,0.1,78.0,0.1354931790129415,0.6370957956165608
88,0.1,222.0,0.15409113148011921,0.5513388392014507
89,0.1,294.0,0.15901309366084623,0.5527499417104538
90,0.1,725.0,0.15913339174474533,0.6035666128122024
91,0.1,582.0,0.16352830677567032,0.49311396604811164
92,0.1,731.0,0.14239788959008529,0.5870989016742129
93,0.1,249.0,0.13734738006809422,0.6834517330859663
94,0.1,791.0,0.15979100650486364,0.49346152224968487
95,0.1,35.0,0.14331874259769112,0.5984203416899396
96,0.1,180.0,0.15868248543427887,0.5235922283385495
97,0.1,510.0,0.1523497387482539,0.5399374323261416
98,0.1,593.0,0.15479139441716974,0.6352884165791238
99,0.1,634.0,0.14343960776367298,0.5939483297980471
