,ratio,rndint,mape,r2
0,0.05,395.0,0.0059526428160487,0.9986185346642642
1,0.05,633.0,0.0062542639192659,0.9987796794295444
2,0.05,951.0,0.0063116228799931,0.9990818163615424
3,0.05,794.0,0.0063727634399703,0.998889755589984
4,0.05,180.0,0.0065425136836212,0.998722828048604
5,0.05,951.0,0.0065823207694894,0.9990137175620823
6,0.05,794.0,0.0069697747366936,0.9985717346692468
7,0.05,816.0,0.0069839812440983,0.9988662159112076
8,0.05,237.0,0.0070066393596624,0.9980480116551927
9,0.05,395.0,0.0070296637760105,0.9983699196017676
10,0.05,816.0,0.0070349920836043,0.9987081891301824
11,0.05,180.0,0.0070568111628287,0.998608627380368
12,0.1,562.0,0.0070786407308946,0.9982280759332084
13,0.05,731.0,0.0071692957754009,0.9983741401792796
14,0.05,996.0,0.0071886484153603,0.997825251741492
15,0.1,794.0,0.0072642598934716,0.9987999620625748
16,0.05,794.0,0.0072643627317445,0.9986042937021912
17,0.1,951.0,0.0073251003858002,0.9985316052833076
18,0.05,510.0,0.0073594156158514,0.9985860063008636
19,0.05,996.0,0.007474695252865,0.9978738062359882
20,0.05,951.0,0.0063116228799931,0.9990818163615424
21,0.05,951.0,0.0065823207694894,0.9990137175620823
22,0.05,794.0,0.0063727634399703,0.998889755589984
23,0.05,816.0,0.0069839812440983,0.9988662159112076
24,0.05,588.0,0.007499749541325,0.9988433720258374
25,0.1,794.0,0.0072642598934716,0.9987999620625748
26,0.05,633.0,0.0062542639192659,0.9987796794295444
27,0.05,16.0,0.0083931378538453,0.9987265223216568
28,0.05,180.0,0.0065425136836212,0.998722828048604
29,0.05,816.0,0.0070349920836043,0.9987081891301824
30,0.05,530.0,0.0080189544377417,0.9986387619871387
31,0.05,725.0,0.0076738473177418,0.998631523413134
32,0.1,725.0,0.0078240612558199,0.998625096249724
33,0.05,395.0,0.0059526428160487,0.9986185346642642
34,0.05,180.0,0.0070568111628287,0.998608627380368
35,0.05,669.0,0.0075935027235291,0.9986070173075006
36,0.05,794.0,0.0072643627317445,0.9986042937021912
37,0.05,510.0,0.0073594156158514,0.9985860063008636
38,0.05,794.0,0.0069697747366936,0.9985717346692468
39,0.05,816.0,0.0075191596111546,0.9985620249349968
