,ratio,rndint,mape,r2
0,0.05,562.0,0.124277706882126,0.5830942999296554
1,0.05,634.0,0.1263497959787419,0.5775385691245547
2,0.05,731.0,0.1294168485856459,0.5433901588794072
3,0.1,562.0,0.1324966384778395,0.5619146853282089
4,0.1,272.0,0.133126527730015,0.5878986876275267
5,0.05,48.0,0.1340158329826811,0.6796253350097644
6,0.15,75.0,0.1352562412389145,0.547592464772918
7,0.15,562.0,0.1364935607995395,0.5807714544068617
8,0.1,75.0,0.1371458995603516,0.5455583108089235
9,0.05,272.0,0.13724132840289,0.5595539873985371
10,0.1,634.0,0.1376842798754984,0.5427092173447703
11,0.05,111.0,0.1380397037800803,0.5262601924616408
12,0.15,936.0,0.1380983011485763,0.6226939211907698
13,0.05,951.0,0.1382957705273735,0.6428199692880422
14,0.05,593.0,0.1388151485995239,0.5606346408004812
15,0.05,936.0,0.1390626710169105,0.6225755709014905
16,0.3,562.0,0.1405596618070412,0.5883969973211747
17,0.15,593.0,0.1407006092628221,0.547149190677618
18,0.25,75.0,0.1417082678867361,0.5616927653815563
19,0.1,711.0,0.1422173741454864,0.5221293902742662
20,0.05,48.0,0.1340158329826811,0.6796253350097644
21,0.05,951.0,0.1382957705273735,0.6428199692880422
22,0.05,588.0,0.1526672151959368,0.6377318940855106
23,0.1,588.0,0.1486743274516191,0.6305451484235993
24,0.05,829.0,0.1513960413874873,0.6285505865635606
25,0.15,936.0,0.1380983011485763,0.6226939211907698
26,0.05,936.0,0.1390626710169105,0.6225755709014905
27,0.05,999.0,0.1638398606122251,0.6099578300100703
28,0.15,588.0,0.1474358199288462,0.6068298687494387
29,0.1,731.0,0.1460774902894478,0.6043995172020054
30,0.15,731.0,0.1460105996641399,0.6025138091355948
31,0.2,936.0,0.1502036234004042,0.5966064732154077
32,0.1,936.0,0.1430604709031992,0.5964961813109083
33,0.05,78.0,0.1429741727126241,0.5964921895415016
34,0.1,48.0,0.1496902320326119,0.5954328709251033
35,0.05,877.0,0.1436256911363237,0.5942259013195752
36,0.2,588.0,0.1466800400408063,0.5938250853016263
37,0.3,936.0,0.1480807633505047,0.5914223434623844
38,0.15,999.0,0.1491528881375185,0.5895350296643191
39,0.3,562.0,0.1405596618070412,0.5883969973211747
