,ratio,rndint,mape,r2
0,0.05,510.0,0.0140139114256642,0.9951786047391592
1,0.05,951.0,0.0149236625658938,0.9941537006866232
2,0.05,530.0,0.0151258585820861,0.9916944442279388
3,0.05,395.0,0.015133040437986,0.9901022245756272
4,0.05,78.0,0.0154381562962048,0.9931219262969426
5,0.05,968.0,0.0155073817585831,0.9890800487935598
6,0.1,16.0,0.015649303025622,0.9945239112443616
7,0.05,588.0,0.0158299191168396,0.994058631841366
8,0.05,854.0,0.0159085648533963,0.9925115135365384
9,0.1,562.0,0.0159374524681534,0.99164205516505
10,0.05,996.0,0.0159561050916852,0.9902504201605302
11,0.1,951.0,0.0159844352650561,0.992188877890123
12,0.05,930.0,0.0159854696565208,0.9943080511155586
13,0.15,16.0,0.0161587275489902,0.9934810139742128
14,0.05,147.0,0.0162952628548467,0.993640050723858
15,0.1,390.0,0.016531071810398,0.9904594354243116
16,0.05,986.0,0.0166051629543696,0.9936444931402596
17,0.05,562.0,0.0166117924443528,0.9896540568602183
18,0.05,16.0,0.0166694299618476,0.9940002842788316
19,0.05,530.0,0.0167056194708153,0.989953174153536
20,0.05,510.0,0.0140139114256642,0.9951786047391592
21,0.1,16.0,0.015649303025622,0.9945239112443616
22,0.05,930.0,0.0159854696565208,0.9943080511155586
23,0.05,951.0,0.0149236625658938,0.9941537006866232
24,0.05,588.0,0.0158299191168396,0.994058631841366
25,0.05,16.0,0.0166694299618476,0.9940002842788316
26,0.05,725.0,0.0169746599139198,0.9939091196930564
27,0.05,986.0,0.0166051629543696,0.9936444931402596
28,0.05,147.0,0.0162952628548467,0.993640050723858
29,0.1,147.0,0.0171448819258137,0.9935939299263734
30,0.1,930.0,0.0168591052977681,0.9935492954666308
31,0.15,16.0,0.0161587275489902,0.9934810139742128
32,0.1,78.0,0.0167316809532793,0.9934209672479716
33,0.1,877.0,0.0171183866913998,0.9932002834380158
34,0.05,78.0,0.0154381562962048,0.9931219262969426
35,0.1,510.0,0.0167813269058863,0.9928380766102848
36,0.05,829.0,0.0181704833604118,0.992807024456958
37,0.1,725.0,0.0186586141399553,0.992684265489638
38,0.2,725.0,0.0175833537179031,0.99263297206498
39,0.05,678.0,0.0172440341945298,0.9925963433140602
