,ratio,rndint,kernel,length_scale,nu,alpha,periodicity,mape,r2
730,0.2,633.0,RQ,1.0,-,1.0,-,0.0300989204753242,0.9807960037599188
731,0.2,633.0,ESS,1.0,-,-,1.0,1.0,-15.504348678624822
732,0.2,928.0,RBF,1.0,-,-,-,0.0283859482832951,0.977944875208934
733,0.2,928.0,Matern,1.0,1.5,-,-,0.0200254717396367,0.989059254046006
734,0.2,928.0,RQ,1.0,-,1.0,-,0.0282876276837515,0.9800060645849688
735,0.2,928.0,ESS,1.0,-,-,1.0,0.9898177496110768,-16.97773209884281
736,0.2,854.0,RBF,1.0,-,-,-,0.0268976680961523,0.97872304023647
737,0.2,854.0,Matern,1.0,1.5,-,-,0.0182105976431299,0.9905004197324756
738,0.2,854.0,RQ,1.0,-,1.0,-,0.0284448096004882,0.980395974809554
739,0.2,854.0,ESS,1.0,-,-,1.0,0.0268976181950548,0.9787231398171584
740,0.2,554.0,RBF,1.0,-,-,-,0.9999999999912612,-17.164585108687504
741,0.2,554.0,Matern,1.0,1.5,-,-,0.0211391201920041,0.987147236800451
742,0.2,554.0,RQ,1.0,-,1.0,-,0.028637862986854,0.9785602563968328
743,0.2,554.0,ESS,1.0,-,-,1.0,0.0283469499928463,0.9735097546281726
744,0.2,562.0,RBF,1.0,-,-,-,1.0,-17.724285396367712
745,0.2,562.0,Matern,1.0,1.5,-,-,0.0178553335249627,0.9899881623163788
746,0.2,562.0,RQ,1.0,-,1.0,-,0.0263954173316844,0.9827718974857672
747,0.2,562.0,ESS,1.0,-,-,1.0,0.0256506401883347,0.9783875739969702
748,0.2,78.0,RBF,1.0,-,-,-,1.0,-16.03935274506996
749,0.2,78.0,Matern,1.0,1.5,-,-,0.0185582945896541,0.9918996315341744
750,0.2,78.0,RQ,1.0,-,1.0,-,0.0287676933714873,0.9826548823368614
751,0.2,78.0,ESS,1.0,-,-,1.0,1.0,-16.03935274506996
752,0.2,222.0,RBF,1.0,-,-,-,1.0,-16.891960451250526
753,0.2,222.0,Matern,1.0,1.5,-,-,0.0201786824346673,0.9870046593802172
754,0.2,222.0,RQ,1.0,-,1.0,-,0.0282697782166396,0.9783720366886466
755,0.2,222.0,ESS,1.0,-,-,1.0,0.0263265255460143,0.9774321395438575
756,0.2,294.0,RBF,1.0,-,-,-,0.0259523086701838,0.9766942316858456
757,0.2,294.0,Matern,1.0,1.5,-,-,0.0187925592874054,0.990267359215208
758,0.2,294.0,RQ,1.0,-,1.0,-,0.0263756680236535,0.982725466493495
759,0.2,294.0,ESS,1.0,-,-,1.0,0.0255792303489417,0.977695157543907
760,0.2,725.0,RBF,1.0,-,-,-,0.0253764224538056,0.9827330254881624
761,0.2,725.0,Matern,1.0,1.5,-,-,0.0175833537179031,0.99263297206498
762,0.2,725.0,RQ,1.0,-,1.0,-,0.0287433490196609,0.9827057497801064
763,0.2,725.0,ESS,1.0,-,-,1.0,0.9937386427343626,-15.668832047388214
764,0.2,582.0,RBF,1.0,-,-,-,0.027417691454682,0.9784622888840426
765,0.2,582.0,Matern,1.0,1.5,-,-,0.0203545567034496,0.9880893142883442
766,0.2,582.0,RQ,1.0,-,1.0,-,0.0311900794933379,0.9764412704649932
767,0.2,582.0,ESS,1.0,-,-,1.0,0.9919950713489544,-15.617745084190044
768,0.2,731.0,RBF,1.0,-,-,-,0.0267754730051031,0.9814639767916044
769,0.2,731.0,Matern,1.0,1.5,-,-,0.0179795908356566,0.9913567301984136
770,0.2,731.0,RQ,1.0,-,1.0,-,0.0264705382026284,0.9820580960765471
771,0.2,731.0,ESS,1.0,-,-,1.0,0.9874031722238964,-16.628674601311495
772,0.2,249.0,RBF,1.0,-,-,-,0.0254944056677177,0.9815537195924908
773,0.2,249.0,Matern,1.0,1.5,-,-,0.018753506639792,0.9904408933675556
774,0.2,249.0,RQ,1.0,-,1.0,-,0.0270568501099641,0.9822843238563967
775,0.2,249.0,ESS,1.0,-,-,1.0,0.9981945702785544,-17.391393985925998
776,0.2,791.0,RBF,1.0,-,-,-,0.0256516675439736,0.9731725070443268
777,0.2,791.0,Matern,1.0,1.5,-,-,0.0192109785721925,0.9872081062838238
778,0.2,791.0,RQ,1.0,-,1.0,-,0.0285689631049042,0.9789464290339952
779,0.2,791.0,ESS,1.0,-,-,1.0,0.0256516469416012,0.973172550710428
780,0.2,35.0,RBF,1.0,-,-,-,0.0299826862789023,0.9775807619823575
781,0.2,35.0,Matern,1.0,1.5,-,-,0.0226768105774557,0.9863288853907156
782,0.2,35.0,RQ,1.0,-,1.0,-,0.0333348717975246,0.974907830964332
783,0.2,35.0,ESS,1.0,-,-,1.0,0.9943089090040704,-15.185600460322297
784,0.2,180.0,RBF,1.0,-,-,-,0.0256513351044594,0.9784638415241264
785,0.2,180.0,Matern,1.0,1.5,-,-,0.0177993775644891,0.9901530752899398
786,0.2,180.0,RQ,1.0,-,1.0,-,0.0233999227550022,0.9843070635558822
787,0.2,180.0,ESS,1.0,-,-,1.0,0.025650302314053,0.9784655456887648
788,0.2,510.0,RBF,1.0,-,-,-,0.0281528685811528,0.9755228083755104
789,0.2,510.0,Matern,1.0,1.5,-,-,0.0197738499701339,0.9876607125166024
790,0.2,510.0,RQ,1.0,-,1.0,-,0.0299135666094805,0.9783865619510296
791,0.2,510.0,ESS,1.0,-,-,1.0,1.0,-16.291072288161704
792,0.2,593.0,RBF,1.0,-,-,-,0.0291837866434638,0.967564926498849
793,0.2,593.0,Matern,1.0,1.5,-,-,0.0220033389353984,0.981801352104807
794,0.2,593.0,RQ,1.0,-,1.0,-,0.0292183564886061,0.9720327523280492
795,0.2,593.0,ESS,1.0,-,-,1.0,0.029183745381659,0.9675650218544682
796,0.2,634.0,RBF,1.0,-,-,-,0.0269887554773253,0.9741488215852164
797,0.2,634.0,Matern,1.0,1.5,-,-,0.0201990200905215,0.9859419005655776
798,0.2,634.0,RQ,1.0,-,1.0,-,0.0259764592637004,0.9784591655949146
799,0.2,634.0,ESS,1.0,-,-,1.0,0.0269887510846143,0.974148830669764
800,0.25,678.0,RBF,1.0,-,-,-,0.025190031943088,0.9804141893055096
801,0.25,678.0,Matern,1.0,1.5,-,-,0.0186489355336143,0.9900970369682156
802,0.25,678.0,RQ,1.0,-,1.0,-,0.0305641095247811,0.9775913560464576
803,0.25,678.0,ESS,1.0,-,-,1.0,0.9981072454768776,-16.589117382688872
804,0.25,147.0,RBF,1.0,-,-,-,0.0285882900077882,0.979508713124
805,0.25,147.0,Matern,1.0,1.5,-,-,0.0204034225734185,0.9900035802175404
806,0.25,147.0,RQ,1.0,-,1.0,-,0.0304485793615127,0.9805598154603046
807,0.25,147.0,ESS,1.0,-,-,1.0,0.0276070633647059,0.9814253627619448
808,0.25,561.0,RBF,1.0,-,-,-,0.0261426522162021,0.9782790054832894
809,0.25,561.0,Matern,1.0,1.5,-,-,0.0219204399626062,0.9863522125562868
810,0.25,561.0,RQ,1.0,-,1.0,-,0.0332953891954353,0.97482747226031
811,0.25,561.0,ESS,1.0,-,-,1.0,0.9974428803832548,-15.699405537153954
812,0.25,237.0,RBF,1.0,-,-,-,0.027851632309635,0.9703185967871516
813,0.25,237.0,Matern,1.0,1.5,-,-,0.0213502366820357,0.9838933019940616
814,0.25,237.0,RQ,1.0,-,1.0,-,0.0290681943836029,0.9755887869387148
815,0.25,237.0,ESS,1.0,-,-,1.0,1.0,-17.512405691202662
816,0.25,588.0,RBF,1.0,-,-,-,0.0272688926280791,0.9799084897702968
817,0.25,588.0,Matern,1.0,1.5,-,-,0.0185889770851242,0.9908038950609228
818,0.25,588.0,RQ,1.0,-,1.0,-,0.0263071771003945,0.9832024130135616
819,0.25,588.0,ESS,1.0,-,-,1.0,0.0550585664861751,0.8980351846060771
820,0.25,951.0,RBF,1.0,-,-,-,0.0273703077451328,0.9778876099467856
821,0.25,951.0,Matern,1.0,1.5,-,-,0.0203837011327459,0.9883095787495304
822,0.25,951.0,RQ,1.0,-,1.0,-,0.0312293963384745,0.9770185892856784
823,0.25,951.0,ESS,1.0,-,-,1.0,0.0273702850648706,0.977887650391159
824,0.25,490.0,RBF,1.0,-,-,-,0.0296111546470163,0.96626967715456
825,0.25,490.0,Matern,1.0,1.5,-,-,0.0206451932894341,0.9854276682918092
826,0.25,490.0,RQ,1.0,-,1.0,-,0.0282902579370775,0.9777624972891832
827,0.25,490.0,ESS,1.0,-,-,1.0,0.9944224155677184,-17.13076641926555
828,0.25,395.0,RBF,1.0,-,-,-,0.0279582572730103,0.976629134553858
829,0.25,395.0,Matern,1.0,1.5,-,-,0.0205418794756856,0.9882740052292132
830,0.25,395.0,RQ,1.0,-,1.0,-,0.0301909368578036,0.977864451741712
831,0.25,395.0,ESS,1.0,-,-,1.0,0.0279582409750971,0.976629161862932
832,0.25,877.0,RBF,1.0,-,-,-,0.0299427571420916,0.9692872420195052
833,0.25,877.0,Matern,1.0,1.5,-,-,0.0215596233572676,0.9854525255715074
834,0.25,877.0,RQ,1.0,-,1.0,-,0.0315316878514981,0.9739887209741416
835,0.25,877.0,ESS,1.0,-,-,1.0,0.0307431212714206,0.9661288829549568
836,0.25,297.0,RBF,1.0,-,-,-,0.0310554167527276,0.9765641679603492
837,0.25,297.0,Matern,1.0,1.5,-,-,0.0201209899179028,0.9894596239167164
838,0.25,297.0,RQ,1.0,-,1.0,-,0.0315811374896864,0.9782193732716332
839,0.25,297.0,ESS,1.0,-,-,1.0,0.9782607726231451,-15.268130013661544
840,0.25,721.0,RBF,1.0,-,-,-,0.0279633881999016,0.9807426562421026
841,0.25,721.0,Matern,1.0,1.5,-,-,0.0207274279976015,0.9894769841702472
842,0.25,721.0,RQ,1.0,-,1.0,-,0.0330262799693188,0.9775207155019764
843,0.25,721.0,ESS,1.0,-,-,1.0,1.0,-15.516196143366145
844,0.25,711.0,RBF,1.0,-,-,-,0.0292960623524339,0.9659109782617724
845,0.25,711.0,Matern,1.0,1.5,-,-,0.0219652718771006,0.9824528665525424
846,0.25,711.0,RQ,1.0,-,1.0,-,0.0299065348546438,0.971329363164442
847,0.25,711.0,ESS,1.0,-,-,1.0,0.9900458609553732,-18.58196972001196
848,0.25,985.0,RBF,1.0,-,-,-,0.0262811226768551,0.9836911194938018
849,0.25,985.0,Matern,1.0,1.5,-,-,0.0190471441904819,0.9909765366338368
850,0.25,985.0,RQ,1.0,-,1.0,-,0.0273261558038161,0.9838805527991598
851,0.25,985.0,ESS,1.0,-,-,1.0,0.0262807728062175,0.9836916227864532
852,0.25,171.0,RBF,1.0,-,-,-,1.0,-16.848475996218635
853,0.25,171.0,Matern,1.0,1.5,-,-,0.02086455555558,0.987068995166398
854,0.25,171.0,RQ,1.0,-,1.0,-,0.0297331278441221,0.978320369931316
855,0.25,171.0,ESS,1.0,-,-,1.0,0.0286921161875637,0.9706351184944426
856,0.25,75.0,RBF,1.0,-,-,-,0.0265793043196597,0.9770120532648672
857,0.25,75.0,Matern,1.0,1.5,-,-,0.0192938781189255,0.9885943467237304
858,0.25,75.0,RQ,1.0,-,1.0,-,0.0250643209684962,0.98267770852719
859,0.25,75.0,ESS,1.0,-,-,1.0,1.0,-18.19272432506683
860,0.25,16.0,RBF,1.0,-,-,-,0.0280766001195346,0.9789960989522674
861,0.25,16.0,Matern,1.0,1.5,-,-,0.0195544587012842,0.9896859902708662
862,0.25,16.0,RQ,1.0,-,1.0,-,0.0317371259024348,0.9778118341883288
863,0.25,16.0,ESS,1.0,-,-,1.0,0.0292953630828706,0.978826088385428
864,0.25,669.0,RBF,1.0,-,-,-,0.0302751963477321,0.9739265674486128
865,0.25,669.0,Matern,1.0,1.5,-,-,0.023416940031398,0.9852480005609104
866,0.25,669.0,RQ,1.0,-,1.0,-,0.0325479173351979,0.9741970517172326
867,0.25,669.0,ESS,1.0,-,-,1.0,0.0261392668425931,0.9818671112476566
868,0.25,530.0,RBF,1.0,-,-,-,0.0248109876506626,0.9763515852838344
869,0.25,530.0,Matern,1.0,1.5,-,-,0.019756392081734,0.9878125748981398
870,0.25,530.0,RQ,1.0,-,1.0,-,0.0288252820405034,0.9782779150811204
871,0.25,530.0,ESS,1.0,-,-,1.0,0.0229673244817961,0.9800618293298066
872,0.25,999.0,RBF,1.0,-,-,-,0.0281059030510474,0.9740055219041786
873,0.25,999.0,Matern,1.0,1.5,-,-,0.0215325455246073,0.9871208321163456
874,0.25,999.0,RQ,1.0,-,1.0,-,0.0310917128180997,0.9771918917568057
875,0.25,999.0,ESS,1.0,-,-,1.0,0.0258339660455708,0.979907021117751
876,0.25,794.0,RBF,1.0,-,-,-,1.0,-15.908717661438205
877,0.25,794.0,Matern,1.0,1.5,-,-,0.0196788895641451,0.9899814143967828
878,0.25,794.0,RQ,1.0,-,1.0,-,0.031419510907032,0.9789234420019374
879,0.25,794.0,ESS,1.0,-,-,1.0,1.0,-15.908717661438205
880,0.25,936.0,RBF,1.0,-,-,-,0.0260982475247408,0.9809030119724872
881,0.25,936.0,Matern,1.0,1.5,-,-,0.0197566814716776,0.9903215611994668
882,0.25,936.0,RQ,1.0,-,1.0,-,0.0271961958884555,0.982020940568042
883,0.25,936.0,ESS,1.0,-,-,1.0,0.0252861027930226,0.9826061498189864
884,0.25,111.0,RBF,1.0,-,-,-,0.0239372492187614,0.9811011262291964
885,0.25,111.0,Matern,1.0,1.5,-,-,0.0203086012139712,0.986710968911015
886,0.25,111.0,RQ,1.0,-,1.0,-,0.0287024147224898,0.976030278387305
887,0.25,111.0,ESS,1.0,-,-,1.0,0.9893148418590322,-18.681468841720907
888,0.25,816.0,RBF,1.0,-,-,-,0.0285029551096164,0.9774862556818976
889,0.25,816.0,Matern,1.0,1.5,-,-,0.0227225061237158,0.98646904755313
890,0.25,816.0,RQ,1.0,-,1.0,-,0.0327541359636592,0.9752941112609432
891,0.25,816.0,ESS,1.0,-,-,1.0,0.9921641798607324,-15.306180474416305
892,0.25,968.0,RBF,1.0,-,-,-,0.0297142520224103,0.9734018143353536
893,0.25,968.0,Matern,1.0,1.5,-,-,0.0221689758404786,0.9861475584532192
894,0.25,968.0,RQ,1.0,-,1.0,-,0.0300588344671317,0.9774323088175386
895,0.25,968.0,ESS,1.0,-,-,1.0,0.0297142514293741,0.9734018157081076
896,0.25,48.0,RBF,1.0,-,-,-,0.028347017390863,0.977743002280852
897,0.25,48.0,Matern,1.0,1.5,-,-,0.0210890683322277,0.9878826354172292
898,0.25,48.0,RQ,1.0,-,1.0,-,0.0289547536242992,0.9799350647568652
899,0.25,48.0,ESS,1.0,-,-,1.0,0.028347017771833,0.9777430011164407
900,0.25,986.0,RBF,1.0,-,-,-,1.0,-16.30999132746203
901,0.25,986.0,Matern,1.0,1.5,-,-,0.0208652412791868,0.9860730275885004
902,0.25,986.0,RQ,1.0,-,1.0,-,0.0323814246176254,0.9734158138335022
903,0.25,986.0,ESS,1.0,-,-,1.0,0.0272602396493679,0.9745639746982038
904,0.25,829.0,RBF,1.0,-,-,-,0.0259487050382888,0.9797808442843556
905,0.25,829.0,Matern,1.0,1.5,-,-,0.0195762134095929,0.9888266637646584
906,0.25,829.0,RQ,1.0,-,1.0,-,0.0294111260122817,0.9797510978522076
907,0.25,829.0,ESS,1.0,-,-,1.0,0.0259486681797867,0.9797809019567278
908,0.25,996.0,RBF,1.0,-,-,-,0.0281640546688639,0.9722778346059152
909,0.25,996.0,Matern,1.0,1.5,-,-,0.020211080863835,0.9879829460815664
910,0.25,996.0,RQ,1.0,-,1.0,-,0.0289254605891657,0.9789438900767252
911,0.25,996.0,ESS,1.0,-,-,1.0,0.9990148703908028,-16.63893640758819
912,0.25,272.0,RBF,1.0,-,-,-,0.0286182945566283,0.9718363112317562
913,0.25,272.0,Matern,1.0,1.5,-,-,0.0216164500446683,0.9862863827599916
914,0.25,272.0,RQ,1.0,-,1.0,-,0.0298977330996678,0.9768031679152406
915,0.25,272.0,ESS,1.0,-,-,1.0,0.997172600824638,-15.867025273864904
916,0.25,759.0,RBF,1.0,-,-,-,1.0,-16.56811893974541
917,0.25,759.0,Matern,1.0,1.5,-,-,0.0215476000967691,0.9854355596165292
918,0.25,759.0,RQ,1.0,-,1.0,-,0.0332359021058488,0.971542790918018
919,0.25,759.0,ESS,1.0,-,-,1.0,0.9948896737831364,-16.447859699206006
920,0.25,390.0,RBF,1.0,-,-,-,0.0272359350278964,0.9787450304842812
921,0.25,390.0,Matern,1.0,1.5,-,-,0.0198700400320551,0.9901565520372808
922,0.25,390.0,RQ,1.0,-,1.0,-,0.0292389337265946,0.9816920556348716
923,0.25,390.0,ESS,1.0,-,-,1.0,1.0,-15.167653837309064
924,0.25,930.0,RBF,1.0,-,-,-,0.0269191299951511,0.9788509148705484
925,0.25,930.0,Matern,1.0,1.5,-,-,0.0189506902949014,0.9895894990733056
926,0.25,930.0,RQ,1.0,-,1.0,-,0.0309712722377202,0.9784602174186732
927,0.25,930.0,ESS,1.0,-,-,1.0,1.0,-16.14342256019558
928,0.25,633.0,RBF,1.0,-,-,-,1.0,-16.165350230701584
929,0.25,633.0,Matern,1.0,1.5,-,-,0.0218624940084761,0.98704990139529
930,0.25,633.0,RQ,1.0,-,1.0,-,0.0313645697910123,0.9774868455200616
931,0.25,633.0,ESS,1.0,-,-,1.0,1.0,-16.165350230701584
932,0.25,928.0,RBF,1.0,-,-,-,0.0283795952229491,0.9753896269540482
933,0.25,928.0,Matern,1.0,1.5,-,-,0.0203440522994709,0.9876010354994424
934,0.25,928.0,RQ,1.0,-,1.0,-,0.0284848640176022,0.9780169933757048
935,0.25,928.0,ESS,1.0,-,-,1.0,0.991554941468344,-17.688368911081835
936,0.25,854.0,RBF,1.0,-,-,-,0.0303764184067385,0.972248306504544
937,0.25,854.0,Matern,1.0,1.5,-,-,0.0200997487605514,0.988327680784689
938,0.25,854.0,RQ,1.0,-,1.0,-,0.0295450370089164,0.9779065457892498
939,0.25,854.0,ESS,1.0,-,-,1.0,0.0303763603288142,0.9722484435324944
940,0.25,554.0,RBF,1.0,-,-,-,0.9999999999930022,-17.337922892023112
941,0.25,554.0,Matern,1.0,1.5,-,-,0.020667084351305,0.9872253166138124
942,0.25,554.0,RQ,1.0,-,1.0,-,0.0286270117180716,0.9779989129614092
943,0.25,554.0,ESS,1.0,-,-,1.0,0.0290814394208393,0.9715984945043388
944,0.25,562.0,RBF,1.0,-,-,-,1.0,-18.600557732852987
945,0.25,562.0,Matern,1.0,1.5,-,-,0.0190333484918468,0.9888616154983756
946,0.25,562.0,RQ,1.0,-,1.0,-,0.0273377666221118,0.981138297083982
947,0.25,562.0,ESS,1.0,-,-,1.0,0.0238398636640061,0.983472776373063
948,0.25,78.0,RBF,1.0,-,-,-,1.0,-16.252317901593457
949,0.25,78.0,Matern,1.0,1.5,-,-,0.018686028876164,0.991443460254963
950,0.25,78.0,RQ,1.0,-,1.0,-,0.0295694844430715,0.9814119269905374
951,0.25,78.0,ESS,1.0,-,-,1.0,1.0,-16.252317901593457
952,0.25,222.0,RBF,1.0,-,-,-,1.0,-17.21363007064356
953,0.25,222.0,Matern,1.0,1.5,-,-,0.0207994668854308,0.9856871186657497
954,0.25,222.0,RQ,1.0,-,1.0,-,0.0282532366855757,0.977788713887455
955,0.25,222.0,ESS,1.0,-,-,1.0,0.0274427891141608,0.9723787448394714
956,0.25,294.0,RBF,1.0,-,-,-,0.0273007941117503,0.9742647285741192
957,0.25,294.0,Matern,1.0,1.5,-,-,0.0196742868882666,0.9890535377144176
958,0.25,294.0,RQ,1.0,-,1.0,-,0.0273983501963754,0.9814347856129488
959,0.25,294.0,ESS,1.0,-,-,1.0,0.0274850557344176,0.9721545635504454
960,0.25,725.0,RBF,1.0,-,-,-,0.0261728956542951,0.9771315354701492
961,0.25,725.0,Matern,1.0,1.5,-,-,0.0190822702655586,0.9907115188967704
962,0.25,725.0,RQ,1.0,-,1.0,-,0.0308553748123997,0.9780405140751356
963,0.25,725.0,ESS,1.0,-,-,1.0,0.994985996856246,-16.200329102915184
964,0.25,582.0,RBF,1.0,-,-,-,0.0281144970568404,0.9771339655457792
965,0.25,582.0,Matern,1.0,1.5,-,-,0.0205009822778683,0.9877770999415484
966,0.25,582.0,RQ,1.0,-,1.0,-,0.0308330703338823,0.9772329160195604
967,0.25,582.0,ESS,1.0,-,-,1.0,0.9935894661524158,-15.82572641414183
968,0.25,731.0,RBF,1.0,-,-,-,0.0253960141312769,0.980462995086388
969,0.25,731.0,Matern,1.0,1.5,-,-,0.0188137584962487,0.9901368628781984
970,0.25,731.0,RQ,1.0,-,1.0,-,0.0275151541341009,0.9800726197883995
971,0.25,731.0,ESS,1.0,-,-,1.0,0.989912674717835,-17.174895116340643
972,0.25,249.0,RBF,1.0,-,-,-,0.0262031551592819,0.9796816309810764
973,0.25,249.0,Matern,1.0,1.5,-,-,0.0200582824085711,0.9887549600686066
974,0.25,249.0,RQ,1.0,-,1.0,-,0.0285430113657997,0.9785747854841113
975,0.25,249.0,ESS,1.0,-,-,1.0,0.998059458617064,-17.545164945154042
976,0.25,791.0,RBF,1.0,-,-,-,0.0266138774504744,0.972309162133579
977,0.25,791.0,Matern,1.0,1.5,-,-,0.0204380296636009,0.9862622157237804
978,0.25,791.0,RQ,1.0,-,1.0,-,0.0322460833513072,0.9748759175394994
979,0.25,791.0,ESS,1.0,-,-,1.0,0.026613858289587,0.9723092043177932
980,0.25,35.0,RBF,1.0,-,-,-,0.0297475648337103,0.975799969609374
981,0.25,35.0,Matern,1.0,1.5,-,-,0.0238629770140833,0.9841913401209746
982,0.25,35.0,RQ,1.0,-,1.0,-,0.035132866987031,0.9701140432335588
983,0.25,35.0,ESS,1.0,-,-,1.0,0.994178945799932,-16.0984654767268
984,0.25,180.0,RBF,1.0,-,-,-,0.0269027831596076,0.9788096209708936
985,0.25,180.0,Matern,1.0,1.5,-,-,0.0185743000867659,0.9901501590344056
986,0.25,180.0,RQ,1.0,-,1.0,-,0.0266495368551172,0.981999123701789
987,0.25,180.0,ESS,1.0,-,-,1.0,0.026676392181928,0.9793207400329216
988,0.25,510.0,RBF,1.0,-,-,-,0.0280893090865776,0.9740096851429744
989,0.25,510.0,Matern,1.0,1.5,-,-,0.02101824931744,0.9866337756629318
990,0.25,510.0,RQ,1.0,-,1.0,-,0.0317275915952254,0.976070766970459
991,0.25,510.0,ESS,1.0,-,-,1.0,1.0,-16.437644513089403
992,0.25,593.0,RBF,1.0,-,-,-,0.02971241995208,0.9656223911466808
993,0.25,593.0,Matern,1.0,1.5,-,-,0.0217395849135521,0.9822259382991352
994,0.25,593.0,RQ,1.0,-,1.0,-,0.0306719866989365,0.9719919366543064
995,0.25,593.0,ESS,1.0,-,-,1.0,0.029712377038015,0.9656224941822272
996,0.25,634.0,RBF,1.0,-,-,-,0.0269829607905828,0.9759719695222906
997,0.25,634.0,Matern,1.0,1.5,-,-,0.0208636848337146,0.9865684411287288
998,0.25,634.0,RQ,1.0,-,1.0,-,0.0278330554709826,0.9777323312772104
999,0.25,634.0,ESS,1.0,-,-,1.0,0.0269829569793796,0.9759719773708616
1000,0.3,678.0,RBF,1.0,-,-,-,0.0263459676613375,0.977872393351104
1001,0.3,678.0,Matern,1.0,1.5,-,-,0.0199637022861682,0.9886385848389329
1002,0.3,678.0,RQ,1.0,-,1.0,-,0.0325696721086148,0.9744690546720316
1003,0.3,678.0,ESS,1.0,-,-,1.0,0.9952889086192648,-16.852762045402333
1004,0.3,147.0,RBF,1.0,-,-,-,0.0294382461241536,0.9797434470928664
1005,0.3,147.0,Matern,1.0,1.5,-,-,0.0217461826718067,0.9889618723950904
1006,0.3,147.0,RQ,1.0,-,1.0,-,0.0339694523101469,0.9765324764909128
1007,0.3,147.0,ESS,1.0,-,-,1.0,0.0273883787369832,0.9821393522933226
1008,0.3,561.0,RBF,1.0,-,-,-,0.0257997638958029,0.9787365516425764
1009,0.3,561.0,Matern,1.0,1.5,-,-,0.0221634100176367,0.9856630348389396
1010,0.3,561.0,RQ,1.0,-,1.0,-,0.0340301742744243,0.9722038987460968
1011,0.3,561.0,ESS,1.0,-,-,1.0,0.9940440489194398,-16.520813724150145
1012,0.3,237.0,RBF,1.0,-,-,-,0.0287067224261131,0.9692560669440718
1013,0.3,237.0,Matern,1.0,1.5,-,-,0.0221890077126138,0.9833625564368248
1014,0.3,237.0,RQ,1.0,-,1.0,-,0.0311460699169548,0.9739313831372312
1015,0.3,237.0,ESS,1.0,-,-,1.0,1.0,-17.089489935578627
1016,0.3,588.0,RBF,1.0,-,-,-,0.0274770626121792,0.9785356260664734
1017,0.3,588.0,Matern,1.0,1.5,-,-,0.0196672797998737,0.9894396745184731
1018,0.3,588.0,RQ,1.0,-,1.0,-,0.0283461628956958,0.9808903943885384
1019,0.3,588.0,ESS,1.0,-,-,1.0,0.0507143002460799,0.9160806617569476
1020,0.3,951.0,RBF,1.0,-,-,-,0.0293796487051271,0.9732437789820118
1021,0.3,951.0,Matern,1.0,1.5,-,-,0.0220494926634875,0.9863068138263088
1022,0.3,951.0,RQ,1.0,-,1.0,-,0.0343819852891726,0.973352422023546
1023,0.3,951.0,ESS,1.0,-,-,1.0,0.0293796247039125,0.9732438321700408
1024,0.3,490.0,RBF,1.0,-,-,-,0.0282944386607084,0.9716975487118557
1025,0.3,490.0,Matern,1.0,1.5,-,-,0.0218501434020615,0.986060177975982
1026,0.3,490.0,RQ,1.0,-,1.0,-,0.0317387440566333,0.9754110199843904
1027,0.3,490.0,ESS,1.0,-,-,1.0,0.9983893352694154,-16.4350857777181
1028,0.3,395.0,RBF,1.0,-,-,-,0.0270710018193182,0.9769894134085964
1029,0.3,395.0,Matern,1.0,1.5,-,-,0.0209560549631257,0.9881616317177588
1030,0.3,395.0,RQ,1.0,-,1.0,-,0.0315600581008898,0.9765834763785864
1031,0.3,395.0,ESS,1.0,-,-,1.0,0.0270709862970423,0.9769894414566044
1032,0.3,877.0,RBF,1.0,-,-,-,0.0293979855248237,0.9710164917539048
1033,0.3,877.0,Matern,1.0,1.5,-,-,0.0213736718121356,0.9861259653930344
1034,0.3,877.0,RQ,1.0,-,1.0,-,0.0313726262258102,0.9745875003055208
1035,0.3,877.0,ESS,1.0,-,-,1.0,0.029553516400824,0.9704885850175482
1036,0.3,297.0,RBF,1.0,-,-,-,0.0306381555715799,0.9744675398935564
1037,0.3,297.0,Matern,1.0,1.5,-,-,0.0214391278012003,0.9878805395638934
1038,0.3,297.0,RQ,1.0,-,1.0,-,0.0336051661342246,0.9741633859300178
1039,0.3,297.0,ESS,1.0,-,-,1.0,0.9805181346893744,-15.638215611856277
1040,0.3,721.0,RBF,1.0,-,-,-,0.0286322346593732,0.9785880679694082
1041,0.3,721.0,Matern,1.0,1.5,-,-,0.0210859310466696,0.9881752559398088
1042,0.3,721.0,RQ,1.0,-,1.0,-,0.0341214244397925,0.9754716872005688
1043,0.3,721.0,ESS,1.0,-,-,1.0,1.0,-15.876683931610035
1044,0.3,711.0,RBF,1.0,-,-,-,0.0317859855982799,0.9603380230193196
1045,0.3,711.0,Matern,1.0,1.5,-,-,0.0226838055818027,0.9821352433307734
1046,0.3,711.0,RQ,1.0,-,1.0,-,0.0316319633080276,0.970187788819433
1047,0.3,711.0,ESS,1.0,-,-,1.0,0.9908111937034392,-18.18721630191322
1048,0.3,985.0,RBF,1.0,-,-,-,0.028334617398967,0.9817875698315912
1049,0.3,985.0,Matern,1.0,1.5,-,-,0.0204099405553526,0.9901444319333066
1050,0.3,985.0,RQ,1.0,-,1.0,-,0.0298599168832072,0.9813761132889024
1051,0.3,985.0,ESS,1.0,-,-,1.0,0.0283342913459538,0.981788071541952
1052,0.3,171.0,RBF,1.0,-,-,-,1.0,-17.275724300238878
1053,0.3,171.0,Matern,1.0,1.5,-,-,0.0219418936924251,0.9856506928102065
