,ratio,rndint,mape,r2
0,0.05,48.0,0.1242496511095244,0.6659029703253443
1,0.05,510.0,0.1247431961915767,0.633596366282287
2,0.1,48.0,0.125398771777723,0.6437772061501708
3,0.05,951.0,0.1264142657374753,0.6502514192053975
4,0.05,78.0,0.1274756630649253,0.6937306359900994
5,0.05,711.0,0.1275920227231834,0.6165131075217913
6,0.05,985.0,0.1280780441881663,0.6441829279202612
7,0.05,936.0,0.1285622786416776,0.646091030019635
8,0.1,272.0,0.1286574310163652,0.5993064965436958
9,0.05,272.0,0.1294957678324879,0.5260930431542592
10,0.15,48.0,0.1295125167285841,0.640295628701857
11,0.25,669.0,0.1309411925613453,0.5958600468778209
12,0.05,395.0,0.1310909747535268,0.6236699182659348
13,0.3,669.0,0.1315470827391806,0.6017738591962241
14,0.2,669.0,0.1318617002094049,0.5949345237971708
15,0.05,249.0,0.1322683283440897,0.6558248777295859
16,0.15,711.0,0.1334192704722053,0.6173051747444751
17,0.1,669.0,0.1337117822446508,0.6247685566674743
18,0.1,711.0,0.1337405879100316,0.6111998499487443
19,0.15,985.0,0.1341796303842031,0.6282081916551411
20,0.05,78.0,0.1274756630649253,0.6937306359900994
21,0.1,249.0,0.1373473800680942,0.6834517330859663
22,0.05,877.0,0.1627477618018279,0.6774206588012953
23,0.1,951.0,0.1347911520818344,0.6733733421859908
24,0.15,951.0,0.1350942152928882,0.6717286753660368
25,0.05,48.0,0.1242496511095244,0.6659029703253443
26,0.05,794.0,0.1448829025331375,0.6597553824829892
27,0.2,951.0,0.1361451374466752,0.6587062873490765
28,0.05,249.0,0.1322683283440897,0.6558248777295859
29,0.25,951.0,0.136241696877435,0.6543094474992435
30,0.05,951.0,0.1264142657374753,0.6502514192053975
31,0.05,936.0,0.1285622786416776,0.646091030019635
32,0.1,297.0,0.1388241850458227,0.6449453702095294
33,0.05,985.0,0.1280780441881663,0.6441829279202612
34,0.3,951.0,0.1384640551842784,0.6439640013722867
35,0.1,48.0,0.125398771777723,0.6437772061501708
36,0.15,48.0,0.1295125167285841,0.640295628701857
37,0.05,986.0,0.1428643403576596,0.637588868744206
38,0.1,78.0,0.1354931790129415,0.6370957956165608
39,0.1,147.0,0.1347991706828792,0.635751514605136
